datetime,black,white,game,game_result,game_length
2023-05-31 17:01:19,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_142000.ckpt,0,B+11.5,57
2023-05-31 17:01:25,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_142000.ckpt,1,B+1.5,73
2023-05-31 17:01:38,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_142000.ckpt,2,W+0.5,103
2023-05-31 17:01:47,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_142000.ckpt,3,W+3.5,119
2023-05-31 17:01:38,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_142000.ckpt,4,B+5.5,102
2023-05-31 17:01:41,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_142000.ckpt,5,B+5.5,107
2023-05-31 17:01:31,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_142000.ckpt,6,W+0.5,88
2023-05-31 17:02:05,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_142000.ckpt,7,W+0.5,162
2023-05-31 17:01:35,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_142000.ckpt,8,W+4.5,104
2023-05-31 17:01:43,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_142000.ckpt,9,W+2.5,103
2023-05-31 17:01:33,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_142000.ckpt,10,B+7.5,101
2023-05-31 17:01:26,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_142000.ckpt,11,W+4.5,67
2023-05-31 17:01:30,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_142000.ckpt,12,W+6.5,90
2023-05-31 17:02:15,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_142000.ckpt,13,W+7.5,162
2023-05-31 17:01:46,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_142000.ckpt,14,W+0.5,108
2023-05-31 17:01:23,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_142000.ckpt,15,B+0.5,63
2023-05-31 17:01:47,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_142000.ckpt,16,W+2.5,92
2023-05-31 17:01:40,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_142000.ckpt,17,B+7.5,64
2023-05-31 17:01:47,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_142000.ckpt,18,B+1.5,69
