iteration,step,train_step_rate,train_episode_return,train_num_episodes,eval_episode_return,eval_num_episodes
1,1000000,808.5786368946702,-20.581632653061224,294,-21.0,262
2,2000000,589.0277444182647,-20.076335877862597,262,-20.854014598540147,137
3,3000000,572.7047655014455,-20.07,200,-20.75,108
4,4000000,612.5796433369392,-19.106870229007633,131,-19.507042253521128,71
5,5000000,827.7644470941299,-18.23076923076923,117,-15.273972602739725,73
6,6000000,819.3804869552588,-9.76842105263158,95,4.9714285714285715,70
7,7000000,808.9384839201809,-8.204545454545455,88,-19.21311475409836,61
8,8000000,824.8391724035089,-11.0,89,-9.930232558139535,43
9,9000000,828.312574669862,-8.01388888888889,72,-4.614285714285714,70
10,10000000,811.4855369204741,14.256637168141593,113,20.0,116
11,11000000,828.3008236408822,9.496062992125983,127,-20.776824034334766,233
12,12000000,830.8707931289688,-5.248366013071895,153,19.642201834862384,109
13,13000000,827.4396789714153,14.4031007751938,129,18.276785714285715,112
14,14000000,823.9738261005006,15.25,136,19.34234234234234,111
15,15000000,811.3356400433287,16.40625,128,20.666666666666668,117
16,16000000,816.9462788629638,18.29850746268657,134,19.850877192982455,114
17,17000000,749.1277523626936,17.526315789473685,133,20.45299145299145,117
18,18000000,788.2710452872271,19.192857142857143,140,20.73728813559322,118
19,19000000,690.828056642339,19.631205673758867,141,16.980392156862745,102
20,20000000,734.6873003503129,18.07913669064748,139,14.690721649484535,97
21,21000000,737.0432830937236,18.46527777777778,144,19.446428571428573,112
22,22000000,740.8089416919275,18.715328467153284,137,20.38053097345133,113
23,23000000,767.0029983190025,17.544117647058822,136,19.08490566037736,106
24,24000000,742.7142632609427,20.118055555555557,144,20.85593220338983,118
25,25000000,753.0211567752133,19.612676056338028,142,20.889830508474578,118
26,26000000,831.911764290333,18.77536231884058,138,20.949152542372882,118
27,27000000,837.8650815614523,19.725352112676056,142,19.482142857142858,112
28,28000000,852.5575502324723,18.542857142857144,140,20.627118644067796,118
29,29000000,859.7996190657589,19.0,140,20.232758620689655,116
30,30000000,853.8155916436978,20.125874125874127,143,20.99145299145299,117
