iteration,step,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_step_rate,train_step_rate,train_exploration_epsilon
1,20000,-200.0,-200.0,100,100,22481.338507870845,3784.767193857989,0.8020099
2,40000,-200.0,-200.0,100,100,22409.904876770477,2093.9020504838754,0.6040098999999999
3,60000,-200.0,-200.0,100,100,22469.38975374145,2068.947651093697,0.4060099
4,80000,-200.0,-200.0,100,100,22403.237543868087,2065.728548670991,0.2080099
5,100000,-200.0,-199.9,100,100,22309.780475706164,2052.5830946552555,0.0100098999999999
6,120000,-200.0,-199.21,100,100,22316.197938560035,2096.6065165460595,0.01
7,140000,-200.0,-199.07,100,100,22410.89762705495,2044.5685866054037,0.01
8,160000,-200.0,-195.48039215686276,100,102,22524.89555073752,2046.371091649522,0.01
9,180000,-200.0,-193.41747572815532,100,103,21781.909204759548,2009.36016972601,0.01
10,200000,-187.2075471698113,-187.74528301886792,106,106,22627.42435757012,1998.9958386235955,0.01
11,220000,-149.0597014925373,-171.43965517241378,134,116,23675.598754651484,2030.509224263088,0.01
12,240000,-200.0,-159.84677419354838,100,124,23899.33357881491,2057.6332850531694,0.01
13,260000,-139.6153846153846,-149.38345864661653,143,133,23764.99977123286,2068.458747415805,0.01
14,280000,-138.19444444444446,-141.43971631205673,144,141,23569.28797753164,2053.3823716582147,0.01
15,300000,-200.0,-141.48936170212767,100,141,23671.262333357023,2058.8243414060757,0.01
16,320000,-140.3450704225352,-130.3986928104575,142,153,23156.529900697027,2053.1505271311808,0.01
17,340000,-143.4460431654676,-132.04635761589404,139,151,23571.680613263376,2040.376305847498,0.01
18,360000,-134.60135135135135,-135.46938775510205,148,147,22602.143740798976,2002.9546543519089,0.01
19,380000,-140.77464788732394,-131.50993377483445,142,151,22586.034604457345,1928.9504527512004,0.01
20,400000,-135.31972789115648,-123.20987654320987,147,162,22153.8111058216,1971.318271493401,0.01
21,420000,-107.37096774193547,-116.97058823529412,186,170,22429.11815226925,1982.9177623187495,0.01
22,440000,-112.28651685393258,-110.98333333333332,178,180,22565.289463617508,1985.9222671160376,0.01
23,460000,-112.3370786516854,-111.51396648044692,178,179,22495.959202706246,1991.1571262461016,0.01
24,480000,-119.92168674698796,-108.42391304347828,166,184,22589.097732063616,1969.199332035857,0.01
25,500000,-113.54857142857144,-109.67032967032966,175,182,22433.59043952048,1966.4529175180087,0.01
26,520000,-112.96045197740114,-108.1195652173913,177,184,22344.5899109985,1991.4588215064389,0.01
27,540000,-109.56043956043956,-108.67391304347828,182,184,22535.95133556985,1967.101379203589,0.01
28,560000,-118.26627218934912,-104.23560209424085,169,191,22513.67616898932,1978.1379239024488,0.01
29,580000,-107.3225806451613,-104.32460732984292,186,191,22413.526426945373,1970.0311767253677,0.01
30,600000,-106.8663101604278,-103.9375,187,192,22534.084842683555,1948.2009739774437,0.01
31,620000,-120.24698795180724,-106.92513368983956,166,187,22391.1112590344,1970.295846612481,0.01
32,640000,-113.2840909090909,-110.02762430939228,176,181,22390.677514259285,1974.2575856493036,0.01
33,660000,-125.32075471698111,-108.95081967213116,159,183,22414.59877879996,1959.657676748112,0.01
34,680000,-106.49197860962566,-107.6,187,185,22517.125106780328,1949.6582365311788,0.01
35,700000,-111.92696629213484,-106.6096256684492,178,187,22640.27512889372,1978.0398905426769,0.01
36,720000,-109.1584699453552,-103.74479166666669,183,192,22718.32403107921,1964.4625309975788,0.01
37,740000,-112.3728813559322,-103.60621761658032,177,193,22442.415206020632,1954.9221985408897,0.01
38,760000,-134.7027027027027,-110.4585635359116,148,181,22387.105292408814,1956.7696468500285,0.01
39,780000,-132.71333333333334,-123.0925925925926,150,162,22482.52140779014,1985.783149732176,0.01
40,800000,-123.87577639751552,-118.301775147929,161,169,22470.285384509603,1944.6926504831536,0.01
41,820000,-126.72611464968152,-110.1988950276243,157,181,23594.95867090062,1976.7108245808845,0.01
42,840000,-135.73469387755102,-110.53888888888888,147,180,23598.518916795143,2024.4804461370543,0.01
43,860000,-119.38323353293411,-116.07558139534883,167,172,20476.61948772735,1849.629831764444,0.01
44,880000,-111.02777777777776,-111.26256983240224,180,179,22560.663025593574,1948.4924751241967,0.01
45,900000,-106.90374331550802,-111.02222222222224,187,180,22649.004998224736,1928.30292158364,0.01
46,920000,-106.8716577540107,-106.84491978609626,187,187,22159.37579490935,1982.7247203612976,0.01
47,940000,-107.31182795698923,-107.3225806451613,186,186,22666.24026933977,1596.1654242836994,0.01
48,960000,-110.353591160221,-103.8125,181,192,22549.84791018134,1842.503357293935,0.01
49,980000,-127.03821656050955,-104.94736842105264,157,190,22461.67041729457,1867.1106040780576,0.01
50,1000000,-120.43975903614458,-109.71428571428572,166,182,22526.657305699588,1900.651552456074,0.01
