iteration,step,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_step_rate,train_step_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
1,1000000,1187.02868852459,1565.9302325581396,488,344,1163.6824060688205,585.3078817846917,0.8020009899999999,-0.0095992465842016,-0.0095992465842016,1.0095992465842016
2,2000000,3070.3603603603606,2086.0755813953488,222,344,1136.859671001161,517.9509580821516,0.55450099,0.1097538173174283,0.1097538173174283,0.8902461826825716
3,3000000,3222.124542124542,2547.317073170732,273,328,1150.8265919710948,521.8919412258368,0.30700099,0.1193716240770963,0.1193716240770963,0.8806283759229037
4,4000000,3354.9777777777776,3080.2931596091207,225,307,1168.876130117495,509.8227565929794,0.0595009899999999,0.1277909805619809,0.1277909805619809,0.8722090194380191
5,5000000,3624.396887159533,3482.8373702422145,257,289,1143.0278349136404,509.8150196953271,0.01,0.144864975896545,0.144864975896545,0.855135024103455
6,6000000,4023.227513227513,3663.3802816901407,189,284,1145.5905969693783,511.1970752347892,0.01,0.1701402144065092,0.1701402144065092,0.8298597855934907
7,7000000,3873.861003861004,4099.628252788104,259,269,1179.0902880965982,522.5587400946341,0.01,0.1606743562128713,0.1606743562128713,0.8393256437871286
8,8000000,5084.011299435028,4583.2307692307695,177,260,1198.5011465560196,517.8358810828928,0.01,0.2373656516008129,0.2373656516008129,0.7626343483991871
9,9000000,4982.544642857143,4901.5,224,260,1195.5121905642277,513.8073553841102,0.01,0.2309353682218792,0.2309353682218792,0.7690646317781208
10,10000000,5533.417085427136,5142.142857142857,199,252,1195.6581817543,522.0302333866058,0.01,0.2658460081388596,0.2658460081388596,0.7341539918611404
11,11000000,6014.866310160428,5820.127118644068,187,236,1197.2967717868444,514.324135544063,0.01,0.2963570651896719,0.2963570651896719,0.7036429348103281
12,12000000,6306.393442622951,5910.0,183,243,1163.7532353501977,515.9288544582847,0.01,0.3148321203221237,0.3148321203221237,0.6851678796778763
13,13000000,6432.31527093596,6062.2672064777325,203,247,1147.819654120411,519.5262677869608,0.01,0.3228122102053905,0.3228122102053905,0.6771877897946095
14,14000000,5853.128491620112,6075.098814229249,179,253,1151.4977741014222,526.8891358033735,0.01,0.2861071955144403,0.2861071955144403,0.7138928044855597
15,15000000,6203.705583756345,6222.608695652174,197,253,1157.597507125509,513.1500143108877,0.01,0.3083244452458154,0.3083244452458154,0.6916755547541846
16,16000000,6844.166666666667,6384.32,204,250,1161.7737134750355,523.1010589813487,0.01,0.34891261869303,0.34891261869303,0.65108738130697
17,17000000,7133.041237113402,6881.469387755102,194,245,1168.514594511206,516.7501006557336,0.01,0.3672195720468583,0.3672195720468583,0.6327804279531417
