iteration,step,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes
1,20000,86.46753246753246,36.86876155268022,231,541
2,40000,129.1038961038961,116.91812865497076,154,171
3,60000,156.0078125,137.89583333333334,128,144
4,80000,232.48809523809524,222.96629213483143,84,89
5,100000,205.05154639175257,265.14666666666665,97,75
6,120000,231.11627906976744,166.14166666666668,86,120
7,140000,206.1443298969072,202.77551020408163,97,98
8,160000,289.6521739130435,224.53932584269663,69,89
9,180000,279.85714285714283,259.6363636363636,70,77
10,200000,367.1851851851852,312.09375,54,64
11,220000,373.622641509434,354.0,53,56
12,240000,374.52830188679246,377.245283018868,53,53
13,260000,367.5185185185185,336.49152542372883,54,59
14,280000,322.62295081967216,357.7454545454545,61,55
15,300000,260.63157894736844,268.2972972972973,76,74
16,320000,358.07272727272726,292.6617647058824,55,68
17,340000,322.3709677419355,305.3692307692308,62,65
18,360000,352.7857142857143,343.9482758620689,56,58
19,380000,281.9,327.5081967213115,70,61
20,400000,326.8688524590164,331.3833333333333,61,60
21,420000,346.35087719298247,338.55172413793105,57,58
22,440000,403.9387755102041,365.1851851851852,49,54
23,460000,394.64,417.2127659574468,50,47
24,480000,414.9574468085106,396.44,47,50
25,500000,417.0212765957447,415.2916666666667,47,48
26,520000,366.7407407407408,357.1428571428572,54,56
27,540000,316.5079365079365,359.43636363636364,63,55
28,560000,423.9148936170213,384.0980392156863,47,51
29,580000,440.3777777777778,450.1136363636364,45,44
30,600000,386.11764705882354,409.9791666666667,51,48
31,620000,358.3272727272727,339.6034482758621,55,58
32,640000,399.1,348.8070175438597,50,57
33,660000,374.4150943396226,403.1224489795918,53,49
34,680000,393.02,391.3333333333333,50,51
35,700000,390.6,435.2,50,45
36,720000,396.72,404.0,50,49
37,740000,451.95454545454544,425.1276595744681,44,47
38,760000,434.39130434782606,426.9565217391304,46,46
39,780000,349.50877192982455,408.0612244897959,57,49
40,800000,385.15686274509807,321.8524590163934,51,61
41,820000,445.3863636363636,427.69565217391306,44,46
42,840000,456.48837209302326,441.5777777777778,43,45
43,860000,391.44,445.59090909090907,50,44
44,880000,385.3529411764706,393.7,51,50
45,900000,443.29545454545456,416.25,44,48
46,920000,375.1509433962264,436.31111111111113,53,45
47,940000,445.9772727272728,383.8269230769231,44,52
48,960000,449.1363636363636,471.5238095238095,44,42
49,980000,430.7391304347826,472.0,46,42
50,1000000,417.25531914893617,430.4782608695652,47,46
