iteration,step,train_step_rate,train_episode_return,train_num_episodes,eval_episode_return,eval_num_episodes
1,100000,1745.713795049449,154.12611420777822,2251.75,187.16289608969214,367
2,200000,1706.786950576603,213.6258525826031,1596.0,145.47413659186685,394
3,300000,1712.5893508577253,219.32211733617456,1569.5,128.80339929435917,396
4,400000,1736.9851794903016,248.54549775458878,1438.0,142.29432984555973,346
5,500000,1666.1806132452366,319.4258472056738,1135.75,160.40069414667718,336
6,600000,1674.389106253081,350.3101275092845,1042.0,168.34645871389532,324
7,700000,1693.6995664906037,363.86947522805133,1027.25,165.18260136180598,328
8,800000,1670.0262153772117,361.7899846251469,1039.5,174.69827877599067,343
9,900000,1718.6811039476022,374.3435850599996,1058.75,180.60905787378107,336
10,1000000,1659.902836293684,377.2701083017805,1059.0,188.8587517070553,312
11,1100000,1700.5631406769924,391.650103629096,1020.0,186.90202694667968,300
12,1200000,1698.624555012744,408.15530011521383,981.5,190.70611219238353,310
13,1300000,1686.3273026089785,430.55100240041463,914.25,194.61656925386217,317
14,1400000,1669.7438408232365,459.27292363328246,846.0,166.88591148483928,335
15,1500000,1693.3492810555765,505.1385617116974,777.75,146.9440919920047,323
16,1600000,1688.3376270434405,552.3855829086796,713.0,140.74596586208392,337
17,1700000,1710.3550085866516,576.1785310972745,682.0,160.9884168574772,299
18,1800000,1732.7707167770504,618.0131235515091,638.75,117.40116680559542,324
19,1900000,1719.688040082774,699.3790055375894,557.75,140.76698494703575,311
20,2000000,1698.2092422750263,779.3127765102045,516.0,129.65761652188147,314
21,2100000,1706.8027436116172,925.0301819561826,428.25,79.73933565254168,340
22,2200000,1762.9461889090142,1109.5849230140811,358.25,132.09000714597818,339
23,2300000,1762.15452349337,1266.7298514022386,327.5,129.48187393780992,334
24,2400000,1742.987627389998,1331.8268005999876,308.75,152.05086032392578,315
25,2500000,1771.4565235495047,1582.1285082711609,261.5,122.76002640165274,323
26,2600000,1823.6901617331525,1861.9459637433688,227.0,127.39225580627047,358
27,2700000,1761.1339179970787,2000.9770183483965,212.25,136.84803879526302,347
28,2800000,1804.0668349445345,1982.0094487524434,216.5,118.86672920275451,368
29,2900000,1736.405280714202,2149.9730073997534,199.25,146.61463864598244,327
30,3000000,1768.472708620725,2257.3160870060237,192.0,153.0976270922354,311
31,3100000,1773.69101244661,2178.2665094371687,201.75,145.7800331798655,314
32,3200000,1726.7495409962137,2255.488736973786,198.75,141.10088230637373,315
33,3300000,1737.14717932765,2185.064019597291,202.5,133.84091906853888,341
34,3400000,1766.740637261733,2142.0992423800035,208.0,133.38341164300405,346
35,3500000,1809.142020177047,2125.6493722228415,214.0,146.76879653629993,317
36,3600000,1761.9200619207495,2265.194817652024,205.0,129.9484429191516,357
37,3700000,1775.796672123018,2226.99175564977,210.0,119.84948269745689,378
38,3800000,1789.3663799881324,2272.03536143857,217.25,122.40322867874471,379
39,3900000,1745.725141047276,2261.008579386889,225.75,123.11629676902004,361
40,4000000,1776.5822590055282,2561.5291359338266,202.0,118.79036492221759,362
41,4100000,1794.9672929834296,2572.171649537352,200.5,111.40025866634967,350
42,4200000,1776.6826618041343,2564.521937745647,201.75,117.29905272639145,344
43,4300000,1748.1228079266355,2477.6024754214036,210.75,120.4179753460646,345
44,4400000,1788.8891505642234,2523.063766692039,208.0,136.18374754083706,306
45,4500000,1801.5299837113448,2852.8121545842114,187.75,129.9083514465529,308
46,4600000,1800.5766394627299,2827.8064904207918,192.5,137.58576065886697,298
47,4700000,1801.3289885023732,2903.7591029487394,185.0,140.45901773036138,294
48,4800000,1816.339793655426,2951.989327665474,182.0,141.96748059135047,293
49,4900000,1823.1005943177968,3012.8851365907117,179.5,140.12743951421362,291
50,5000000,1787.961602765186,2803.305114244422,193.5,144.66339145426082,284
51,5100000,1812.6874322199649,2942.2540906122445,186.5,138.24980330712327,297
52,5200000,1775.8914590844793,3014.462795977113,183.0,138.68631259971824,292
53,5300000,1851.1860571854495,3131.537509496332,176.5,139.72778949640394,282
54,5400000,1772.9742604346186,3139.4159280795598,173.5,144.18129640673155,286
55,5500000,1801.7505160652463,3010.2460014251283,179.75,139.60757014512933,288
56,5600000,1807.2293506156186,3181.002581035654,172.0,141.43158267343992,286
57,5700000,1806.906887738999,3340.921427676406,164.25,142.39825258006294,279
58,5800000,1819.2951401370028,3250.791026243823,169.25,142.76885776167202,285
59,5900000,1817.652483247872,3089.2889214771476,176.0,159.5653455673872,267
60,6000000,1829.6407708628894,3183.2698194948252,176.0,153.35156423772034,270
61,6100000,1811.2068717713191,3178.9898399555354,178.5,156.74422352342575,268
62,6200000,1817.0066845994802,3211.8526376005325,179.75,153.5682113448094,261
63,6300000,1842.5601860997745,3198.3167516561625,175.75,146.1502538846878,269
64,6400000,1793.0563811683328,3096.1016090424596,182.5,150.3547300238249,260
65,6500000,1808.5855174690366,3129.523034386785,179.0,154.84296353202316,257
66,6600000,1785.0320391248658,3031.7140487096544,187.75,155.33715813832274,255
67,6700000,1841.7814944046015,3290.2189794622445,172.75,144.32017580907785,265
68,6800000,1798.858545813246,3126.8453373343546,176.25,144.28386625999502,265
69,6900000,1790.5458453684687,3285.936953294134,172.5,137.39147315288807,266
70,7000000,1879.593230573308,3237.8649286333957,175.5,142.82159961720762,253
71,7100000,1826.8059116898253,3091.0672574503474,179.25,136.3922476478271,256
72,7200000,1854.556174947103,3218.197227976946,174.75,134.44333862273012,254
73,7300000,1865.4867542228862,3394.729710186431,162.5,129.66537685570606,249
74,7400000,1846.9223091625106,3376.4949670813976,160.0,119.16802376023223,258
75,7500000,1800.0666724971156,3210.888377413359,172.0,124.70896402163741,251
76,7600000,1830.993115359158,3347.6758757236403,164.0,121.15410715329118,251
77,7700000,1891.1319822516703,3093.10511950845,178.75,122.62676111712878,246
78,7800000,1806.1362580769735,3020.9985217054154,187.25,110.1337592421578,258
79,7900000,1804.8970242769242,2781.9057602414914,198.25,107.59078143390683,255
80,8000000,1793.5995972052897,2943.5893664682308,187.75,114.06197720867173,249
