iteration,step,train_episode_return,train_num_episodes,train_step_rate,train_exploration_epsilon
1,20000,23.687203791469194,844,11418.205915985594,0.8100095
2,40000,33.876271186440675,590,11391.549725183882,0.6200094999999999
3,60000,61.07033639143731,327,11560.8934980481,0.4300095
4,80000,132.86,150,11078.453271070892,0.2400095
5,100000,271.6027397260274,73,11325.804438003535,0.0500094999999999
6,120000,337.63793103448273,58,11091.284608012473,0.05
7,140000,414.1041666666667,48,11217.18964319473,0.05
8,160000,427.7826086956522,46,11182.712584682928,0.05
9,180000,471.1190476190476,42,11117.719749325755,0.05
10,200000,491.35,40,11301.482575943131,0.05
11,220000,487.219512195122,41,11319.242090361837,0.05
12,240000,464.1860465116279,43,11240.405606387969,0.05
13,260000,466.2619047619048,42,11231.037489633152,0.05
14,280000,452.0,44,11287.45106492891,0.05
15,300000,475.04761904761904,42,11313.267875937783,0.05
16,320000,475.6904761904762,42,11376.929413608208,0.05
17,340000,459.0697674418605,43,11247.671496489054,0.05
18,360000,476.2926829268293,41,11086.67878731074,0.05
19,380000,475.6190476190476,42,11389.0342789331,0.05
20,400000,481.0731707317073,41,11465.483589878684,0.05
21,420000,474.8333333333333,42,11425.468147394862,0.05
22,440000,479.8780487804878,41,10987.358629115624,0.05
23,460000,444.1590909090909,44,11109.49925854297,0.05
24,480000,456.1627906976744,43,11252.9667919597,0.05
25,500000,458.7674418604651,43,11239.820436736263,0.05
26,520000,458.6976744186047,43,11316.07923545596,0.05
27,540000,487.390243902439,41,11307.361590919472,0.05
28,560000,473.2142857142857,42,11240.26434618915,0.05
29,580000,482.1951219512195,41,11148.991935718715,0.05
30,600000,472.8095238095238,42,11433.126216194849,0.05
31,620000,444.24444444444447,45,10413.64897017929,0.05
32,640000,465.09302325581393,43,11064.611491196836,0.05
33,660000,476.4878048780488,41,11328.402803847068,0.05
34,680000,452.04545454545456,44,11230.127093408595,0.05
35,700000,445.8181818181818,44,11259.54084020384,0.05
36,720000,440.9111111111111,45,11497.854497177505,0.05
37,740000,456.8139534883721,43,11365.018666325454,0.05
38,760000,450.6363636363636,44,11330.462950498504,0.05
39,780000,445.5681818181818,44,11330.037363146104,0.05
40,800000,439.1555555555556,45,11295.230535049066,0.05
41,820000,473.4047619047619,42,11249.04740534555,0.05
42,840000,453.04545454545456,44,11225.003312335068,0.05
43,860000,445.4772727272728,44,11380.184315500195,0.05
44,880000,483.8292682926829,41,11406.501341106825,0.05
45,900000,450.09090909090907,44,11460.322054342634,0.05
46,920000,424.3695652173913,46,11307.562898067146,0.05
47,940000,469.8809523809524,42,11247.09571520118,0.05
48,960000,458.0,43,11254.40630125947,0.05
49,980000,465.3571428571428,42,11344.701599029477,0.05
50,1000000,451.20454545454544,44,11157.67884914147,0.05
