iteration,step,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_step_rate,train_step_rate,train_exploration_epsilon
1,20000,-200.0,-200.0,100,100,22153.65177157922,2132.2905443189097,0.8020099
2,40000,-200.0,-200.0,100,100,22314.056888674462,2128.516560976085,0.6040098999999999
3,60000,-200.0,-200.0,100,100,18817.92903668941,2111.573021299128,0.4060099
4,80000,-200.0,-200.0,100,100,16244.806557670096,1753.4986075571394,0.2080099
5,100000,-200.0,-200.0,100,100,19903.816597620666,1628.3026288549154,0.0100098999999999
6,120000,-200.0,-200.0,100,100,22388.53415460197,1900.1719915406584,0.01
7,140000,-200.0,-200.0,100,100,23327.800262947745,1977.005835389656,0.01
8,160000,-200.0,-200.0,100,100,23711.000902962543,1953.101014813284,0.01
9,180000,-200.0,-200.0,100,100,23373.87162840561,1996.4955866345333,0.01
10,200000,-200.0,-200.0,100,100,23423.792122365907,1993.120290090305,0.01
11,220000,-200.0,-200.0,100,100,23900.848439251076,1998.2287494547825,0.01
12,240000,-200.0,-200.0,100,100,23490.06880115132,1981.608743547165,0.01
13,260000,-200.0,-200.0,100,100,23872.68146087831,1949.811733286316,0.01
14,280000,-200.0,-200.0,100,100,23584.451520662187,1913.933256744844,0.01
15,300000,-200.0,-200.0,100,100,23644.15501311605,1976.7047429490517,0.01
16,320000,-200.0,-200.0,100,100,23071.468094514767,1971.0168455537016,0.01
17,340000,-200.0,-200.0,100,100,23533.969214763965,1942.664795397504,0.01
18,360000,-200.0,-200.0,100,100,22587.716471835545,1895.837980705758,0.01
19,380000,-200.0,-200.0,100,100,20362.49639852312,1876.3865724520692,0.01
20,400000,-200.0,-200.0,100,100,20969.753352515483,1909.4929663748912,0.01
21,420000,-200.0,-200.0,100,100,22774.195826317125,1931.8984827594616,0.01
22,440000,-200.0,-200.0,100,100,22515.333082576417,1934.025689278189,0.01
23,460000,-200.0,-200.0,100,100,22592.78458147553,1909.0928539011709,0.01
24,480000,-200.0,-200.0,100,100,22394.265946405,1919.7314056794007,0.01
25,500000,-200.0,-200.0,100,100,22349.4556868312,1914.6391138411384,0.01
26,520000,-200.0,-200.0,100,100,22512.785514627845,1878.9594864069156,0.01
27,540000,-200.0,-200.0,100,100,22556.74501659373,1892.4866092102632,0.01
28,560000,-200.0,-200.0,100,100,22503.94693349924,1891.9524427304236,0.01
29,580000,-200.0,-200.0,100,100,23109.809535817563,1910.205213896332,0.01
30,600000,-200.0,-200.0,100,100,23478.335667458523,1958.397052103056,0.01
31,620000,-200.0,-200.0,100,100,23928.674078296124,1944.496914182197,0.01
32,640000,-200.0,-200.0,100,100,23920.85871923392,1915.5946162158805,0.01
33,660000,-200.0,-200.0,100,100,23652.566588399983,1907.433194102592,0.01
34,680000,-200.0,-200.0,100,100,24037.88636266707,1952.8130161895292,0.01
35,700000,-200.0,-200.0,100,100,23553.274862128623,1899.510921554628,0.01
36,720000,-200.0,-200.0,100,100,23806.915733572983,1959.9069010671224,0.01
37,740000,-200.0,-200.0,100,100,23830.636760721995,1952.668493756121,0.01
38,760000,-200.0,-200.0,100,100,23550.575336878,1974.281053548276,0.01
39,780000,-200.0,-200.0,100,100,23768.479917367724,1946.117657292996,0.01
40,800000,-200.0,-200.0,100,100,23164.1593276996,1914.6680760879296,0.01
41,820000,-200.0,-200.0,100,100,23446.21406021801,1934.3948016398065,0.01
42,840000,-200.0,-200.0,100,100,23538.613174738897,1977.732704708584,0.01
43,860000,-200.0,-200.0,100,100,23355.302272675355,1967.0542228858396,0.01
44,880000,-200.0,-200.0,100,100,23513.83647609238,1967.2872258179195,0.01
45,900000,-200.0,-200.0,100,100,23461.74574381665,1998.832697495585,0.01
46,920000,-200.0,-200.0,100,100,23437.209753941424,2010.1756120704035,0.01
47,940000,-200.0,-200.0,100,100,23490.380866360072,2043.94676949578,0.01
48,960000,-200.0,-200.0,100,100,23842.24581597787,2042.73491548216,0.01
49,980000,-200.0,-200.0,100,100,23654.083953561458,2041.0907295186669,0.01
50,1000000,-200.0,-200.0,100,100,23801.18818008124,2018.97753541082,0.01
