iteration,step,train_episode_return,train_num_episodes,train_step_rate,train_exploration_epsilon
1,20000,28.682926829268293,697,15983.029641080037,0.8100095
2,40000,47.66028708133971,418,15550.808127098942,0.6200094999999999
3,60000,116.7470588235294,170,15536.491400219593,0.4300095
4,80000,235.72619047619048,84,15341.333282255471,0.2400095
5,100000,367.8148148148149,54,13489.892038072594,0.0500094999999999
6,120000,384.5490196078432,51,15307.740582613636,0.05
7,140000,400.3877551020408,49,14814.948961428783,0.05
8,160000,474.8333333333333,42,14939.567395683112,0.05
9,180000,463.6976744186047,43,14733.794182680427,0.05
10,200000,413.5833333333333,48,15526.860946951076,0.05
11,220000,489.125,40,15575.25973878633,0.05
12,240000,498.15,40,15654.17262692304,0.05
13,260000,490.35,40,15553.875106241658,0.05
14,280000,474.4285714285714,42,15388.7087456557,0.05
15,300000,488.625,40,15707.938257586577,0.05
16,320000,491.825,40,15407.447550790308,0.05
17,340000,479.2926829268293,41,15507.118639746888,0.05
18,360000,483.1707317073171,41,15451.31397657507,0.05
19,380000,460.09302325581393,43,15084.728373760005,0.05
20,400000,477.2439024390244,41,15501.68683037847,0.05
21,420000,488.65,40,15476.896355312763,0.05
22,440000,484.219512195122,41,15420.47567706037,0.05
23,460000,489.325,40,15681.316139126444,0.05
24,480000,489.15,40,15769.571700405955,0.05
25,500000,474.5,42,15610.670026872893,0.05
26,520000,483.780487804878,41,15470.467602161458,0.05
27,540000,500.0,40,15525.297606120452,0.05
28,560000,484.1463414634146,41,15418.756009311026,0.05
29,580000,475.3571428571428,42,15290.43392158981,0.05
30,600000,488.175,40,15721.24090467899,0.05
31,620000,487.575,40,15763.299977352046,0.05
32,640000,486.1219512195122,41,15460.75177350739,0.05
33,660000,490.05,40,15607.733530219584,0.05
34,680000,463.5813953488372,43,15625.89416738484,0.05
35,700000,454.7674418604651,43,15643.370719073966,0.05
36,720000,442.5777777777778,45,15624.00987722658,0.05
37,740000,459.5813953488372,43,15444.866545623492,0.05
38,760000,447.27272727272725,44,15505.761373449974,0.05
39,780000,485.8048780487805,41,15502.600321331944,0.05
40,800000,454.9767441860465,43,15538.32305803302,0.05
41,820000,443.02222222222224,45,15536.9053219644,0.05
42,840000,428.4782608695652,46,15429.825735397062,0.05
43,860000,455.6976744186047,43,15701.253813789435,0.05
44,880000,484.6829268292683,41,15548.161641087623,0.05
45,900000,446.54545454545456,44,14747.284671504412,0.05
46,920000,443.06666666666666,45,15592.237456673874,0.05
47,940000,453.6363636363636,44,15447.66137841072,0.05
48,960000,453.95454545454544,44,15580.567022457406,0.05
49,980000,415.0212765957447,47,15682.90820741265,0.05
50,1000000,457.13953488372096,43,15659.934193427878,0.05
