iteration,step,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_step_rate,train_step_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
1,1000000,2148.71473354232,1588.0813953488373,319,344,1211.9315226632,613.4423818451854,0.8020009899999999,0.0513460333687581,0.0513460333687581,0.9486539666312418
2,2000000,2565.4651162790697,2017.072463768116,258,345,1199.044758566187,519.3082771520701,0.55450099,0.0777569071440203,0.0777569071440203,0.9222430928559796
3,3000000,2976.6968325791854,2368.367952522255,221,337,1422.1197577175162,499.2215616772162,0.30700099,0.1038180444614332,0.1038180444614332,0.8961819555385668
4,4000000,3192.2477064220184,2838.9710610932475,218,311,1257.6178640625917,500.0178548305671,0.0595009899999999,0.1174782284877225,0.1174782284877225,0.8825217715122774
5,5000000,3285.0,3093.206896551724,228,290,1365.1325546684716,496.72493514312487,0.01,0.1233562533667099,0.1233562533667099,0.87664374663329
6,6000000,3912.085106382978,3444.53237410072,235,278,1312.1598407723782,491.3086232992356,0.01,0.1630967461822604,0.1630967461822604,0.8369032538177396
7,7000000,3633.6679536679535,3898.5546875,259,256,1356.5724137084917,488.41585593701984,0.01,0.1454525145706742,0.1454525145706742,0.8545474854293258
8,8000000,4375.806451612903,4493.823529411765,155,238,1254.5529885707654,492.2251666773624,0.01,0.1924843278692546,0.1924843278692546,0.8075156721307454
9,9000000,4347.548076923077,4590.434782608696,208,230,1344.253851824658,492.0083440661118,0.01,0.1906934995990416,0.1906934995990416,0.8093065004009584
10,10000000,4715.628140703518,4824.383561643836,199,219,1179.0689913345866,492.1585985482203,0.01,0.2140199715265704,0.2140199715265704,0.7859800284734296
11,11000000,5998.321167883211,4724.625550660793,137,227,1356.7644601682707,497.88045177267486,0.01,0.2953085438628101,0.2953085438628101,0.70469145613719
12,12000000,5444.770114942528,4861.130434782609,174,230,1125.552228440438,489.4483748624233,0.01,0.2602281513953248,0.2602281513953248,0.7397718486046752
13,13000000,5305.847953216375,4674.672489082969,171,229,1182.3954155096978,488.0736205171683,0.01,0.2514241866482699,0.2514241866482699,0.7485758133517302
14,14000000,5287.6373626373625,5091.395348837209,182,215,1443.2877467421736,483.2292046563675,0.01,0.2502701202596636,0.2502701202596636,0.7497298797403363
15,15000000,5916.766917293233,5106.150234741784,133,213,1457.4218740070478,479.9579436650684,0.01,0.2901401766401491,0.2901401766401491,0.7098598233598509
16,16000000,5128.907103825137,5207.894736842105,183,209,1176.4589147524628,485.0802383645867,0.01,0.2402108497623585,0.2402108497623585,0.7597891502376415
17,17000000,5264.685990338165,5052.222222222223,207,216,1378.2401576654313,487.43673950057655,0.01,0.2488156145846297,0.2488156145846297,0.7511843854153702
18,18000000,5609.3421052631575,5031.880733944954,152,218,1353.1751516411025,489.899757861714,0.01,0.2706576320709247,0.2706576320709247,0.7293423679290753
19,19000000,4673.103448275862,5141.442307692308,174,208,1160.972782813067,497.69240792083593,0.01,0.2113250387069211,0.2113250387069211,0.7886749612930788
20,20000000,5887.26618705036,5127.242990654206,139,214,1168.666265478491,488.2198060231734,0.01,0.288270616119038,0.288270616119038,0.711729383880962
21,21000000,5290.1621621621625,5316.777251184834,185,211,1243.9771783254296,496.3116631204038,0.01,0.2504301252994177,0.2504301252994177,0.7495698747005822
22,22000000,5664.186046511628,5408.067632850241,172,207,1269.0338949588106,492.0714715349957,0.01,0.2741332771324584,0.2741332771324584,0.7258667228675415
23,23000000,6844.1558441558445,5344.251207729469,154,207,1334.1922299613932,493.9263275426822,0.01,0.3489119328341103,0.3489119328341103,0.6510880671658896
24,24000000,6109.257142857143,5596.813725490196,175,204,1158.9807607258797,489.0243954468883,0.01,0.3023389298049458,0.3023389298049458,0.6976610701950542
25,25000000,5999.261744966443,5543.546798029557,149,203,1155.990117056824,487.9282332380572,0.01,0.2953681513968404,0.2953681513968404,0.7046318486031595
