iteration,step,train_episode_return,train_num_episodes,train_step_rate,train_exploration_epsilon
1,20000,23.887694145758665,837,10813.1848484815,0.8100095
2,40000,34.006814310051105,587,10652.345658845225,0.6200094999999999
3,60000,60.59574468085106,329,10788.22438015093,0.4300095
4,80000,132.36666666666667,150,10655.748309565412,0.2400095
5,100000,296.7761194029851,67,10587.925131445423,0.0500094999999999
6,120000,322.57377049180326,61,10663.023017877009,0.05
7,140000,393.32,50,10728.52512819453,0.05
8,160000,456.3953488372093,43,10774.340530047524,0.05
9,180000,443.8,45,10756.08416853275,0.05
10,200000,464.8809523809524,42,10685.450057967102,0.05
11,220000,451.20454545454544,44,10459.018796386694,0.05
12,240000,468.3571428571428,42,10731.742614548924,0.05
13,260000,434.60869565217394,46,10741.81545660054,0.05
14,280000,473.7380952380952,42,10548.966007382907,0.05
15,300000,474.7380952380952,42,10310.952854566853,0.05
16,320000,468.7380952380952,42,10636.692450311612,0.05
17,340000,443.9772727272728,44,9976.024291601374,0.05
18,360000,460.7441860465116,43,10688.852842978897,0.05
19,380000,475.1428571428572,42,10470.004139618835,0.05
20,400000,421.4255319148936,47,10760.360870503378,0.05
21,420000,444.02272727272725,44,10616.237517110903,0.05
22,440000,432.3478260869565,46,10858.139480457628,0.05
23,460000,431.2826086956522,46,10785.829471324672,0.05
24,480000,462.0,43,10556.578360442489,0.05
25,500000,471.7857142857143,42,10858.706080499667,0.05
26,520000,466.6190476190476,42,10744.374573571966,0.05
27,540000,477.7560975609756,41,10798.176057609644,0.05
28,560000,426.1304347826087,46,10771.707538605018,0.05
29,580000,443.75,44,10681.62269306896,0.05
30,600000,436.4222222222222,45,10769.36836614062,0.05
31,620000,434.4,45,10751.647776705286,0.05
32,640000,442.1333333333333,45,10571.513432752832,0.05
33,660000,398.9387755102041,49,10318.613099805149,0.05
34,680000,468.6190476190476,42,10244.706194458586,0.05
35,700000,459.9767441860465,43,10647.280756586544,0.05
36,720000,463.4186046511628,43,10574.543823878508,0.05
37,740000,475.2619047619048,42,10606.600166203236,0.05
38,760000,468.2619047619048,42,10644.895391640948,0.05
39,780000,431.5217391304348,46,10693.312004891864,0.05
40,800000,443.6590909090909,44,10710.852205258923,0.05
41,820000,454.90697674418607,43,10751.48998784371,0.05
42,840000,448.3181818181818,44,10637.48910065132,0.05
43,860000,423.6595744680851,47,10699.967110010784,0.05
44,880000,471.0238095238095,42,10593.341758416953,0.05
45,900000,452.25,44,10565.76391432034,0.05
46,920000,437.1777777777778,45,10037.953960648463,0.05
47,940000,430.39130434782606,46,10660.53148246919,0.05
48,960000,436.75555555555553,45,10685.450914315014,0.05
49,980000,451.09090909090907,44,10602.267414382066,0.05
50,1000000,438.6222222222222,45,10538.352323889068,0.05
