iteration,step,train_episode_return,train_num_episodes,train_step_rate,train_exploration_epsilon
1,20000,24.897755610972567,802,10652.981880239997,0.8100095
2,40000,33.95229982964225,587,10495.522275134732,0.6200094999999999
3,60000,58.19005847953216,342,10675.759675220294,0.4300095
4,80000,138.52447552447552,143,10652.040069228644,0.2400095
5,100000,283.9142857142857,70,10501.770724832104,0.0500094999999999
6,120000,324.37704918032784,61,10506.244383722991,0.05
7,140000,405.0204081632653,49,10559.015119778496,0.05
8,160000,467.2142857142857,42,10606.676644252291,0.05
9,180000,487.6585365853659,41,10697.81089829704,0.05
10,200000,476.1951219512195,41,10679.76961050004,0.05
11,220000,496.35,40,10684.509073129168,0.05
12,240000,458.0,43,10655.491959569756,0.05
13,260000,491.0,40,10625.112164662152,0.05
14,280000,478.4878048780488,41,10435.947667006569,0.05
15,300000,477.780487804878,41,10520.087659494691,0.05
16,320000,477.1463414634146,41,10558.33471749429,0.05
17,340000,480.2439024390244,41,10425.084765152573,0.05
18,360000,473.6428571428572,42,10343.43771886454,0.05
19,380000,477.5365853658537,41,10383.193080070088,0.05
20,400000,452.84090909090907,44,10277.713278572966,0.05
21,420000,492.0,40,10685.937344103988,0.05
22,440000,464.9767441860465,43,10786.483849729872,0.05
23,460000,478.1463414634146,41,10777.4652982289,0.05
24,480000,446.6818181818182,44,10621.42782462088,0.05
25,500000,441.24444444444447,45,10031.439730863634,0.05
26,520000,466.6904761904762,42,10781.617925151651,0.05
27,540000,460.6744186046512,43,10694.734097950486,0.05
28,560000,485.5121951219512,41,10762.49281458828,0.05
29,580000,470.7380952380952,42,10762.541909866788,0.05
30,600000,473.45238095238096,42,10693.465180483956,0.05
31,620000,464.5581395348837,43,10679.426171665506,0.05
32,640000,469.57142857142856,42,10692.22777439435,0.05
33,660000,453.8181818181818,44,10698.75273395786,0.05
34,680000,488.0,40,10753.28097845466,0.05
35,700000,474.9047619047619,42,10693.894651326442,0.05
36,720000,469.1904761904762,42,10667.574838565311,0.05
37,740000,475.6341463414634,41,10710.427238897984,0.05
38,760000,478.6585365853659,41,10656.790271717971,0.05
39,780000,475.6666666666667,42,10615.39843083597,0.05
40,800000,474.0952380952381,42,10358.313968109383,0.05
41,820000,484.4390243902439,41,10066.316348521508,0.05
42,840000,457.3488372093023,43,9838.358422554804,0.05
43,860000,458.1860465116279,43,10484.807309225223,0.05
44,880000,463.8837209302326,43,10580.785075157815,0.05
45,900000,466.7142857142857,42,10595.92717183897,0.05
46,920000,484.1219512195122,41,10477.462003511711,0.05
47,940000,484.9512195121951,41,10401.688619705335,0.05
48,960000,473.9047619047619,42,10635.288985026287,0.05
49,980000,479.0487804878049,41,10401.475182126716,0.05
50,1000000,470.8333333333333,42,10339.528779146156,0.05
