datetime,black,white,game,game_result,game_length
2023-06-01 10:20:32,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,0,B+7.5,92
2023-06-01 10:20:18,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,1,W+6.5,74
2023-06-01 10:20:15,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,2,B+8.5,79
2023-06-01 10:20:40,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,3,W+9.5,87
2023-06-01 10:22:36,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,4,B+5.5,138
2023-06-01 10:20:20,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,5,W+0.5,66
2023-06-01 10:22:29,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,6,W+1.5,125
2023-06-01 10:20:59,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,7,W+8.5,89
2023-06-01 10:21:58,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,8,W+12.5,109
2023-06-01 10:21:16,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,9,W+2.5,103
2023-06-01 10:21:44,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,10,W+2.5,87
2023-06-01 10:20:59,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,11,W+0.5,76
2023-06-01 10:21:51,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,12,B+12.5,93
2023-06-01 10:20:45,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,13,W+6.5,70
2023-06-01 10:25:53,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,14,B+2.5,162
2023-06-01 10:21:12,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,15,W+0.5,70
2023-06-01 10:21:41,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,16,B+3.5,55
2023-06-01 10:23:25,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,17,W+4.5,104
2023-06-01 10:22:54,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,18,W+6.5,78
2023-06-01 10:22:25,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,19,B+13.5,74
2023-06-01 10:22:19,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,20,W+4.5,56
2023-06-01 10:24:47,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,21,W+2.5,111
2023-06-01 10:23:32,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,22,B+1.5,79
2023-06-01 10:23:35,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,23,W+10.5,70
2023-06-01 10:24:37,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,24,W+8.5,78
2023-06-01 10:24:34,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,25,W+4.5,94
2023-06-01 10:24:22,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,26,B+7.5,96
2023-06-01 10:26:00,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,27,W+0.5,103
2023-06-01 10:24:50,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,28,W+5.5,74
2023-06-01 10:24:38,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,29,W+6.5,74
2023-06-01 10:25:39,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,30,W+2.5,109
2023-06-01 10:24:16,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,31,W+6.5,66
2023-06-01 10:25:07,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,32,W+13.5,72
2023-06-01 10:25:02,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,33,W+13.5,72
2023-06-01 10:25:26,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,34,W+6.5,72
2023-06-01 10:26:38,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,35,W+3.5,103
2023-06-01 10:26:26,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,36,W+7.5,87
2023-06-01 10:27:51,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,37,W+29.5,162
2023-06-01 10:27:01,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,38,B+1.5,108
2023-06-01 10:26:45,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,39,W+0.5,97
2023-06-01 10:27:59,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,40,B+5.5,162
2023-06-01 10:28:15,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,41,W+5.5,162
2023-06-01 10:27:22,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,42,B+9.5,95
2023-06-01 10:27:32,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,43,W+2.5,112
2023-06-01 10:27:39,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,44,W+6.5,106
2023-06-01 10:26:47,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,45,W+4.5,58
2023-06-01 10:27:14,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,46,W+3.5,76
2023-06-01 10:26:58,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,47,B+3.5,55
2023-06-01 10:27:15,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,48,B+4.5,77
2023-06-01 10:27:26,./checkpoints/go/9x9_11b128/training_steps_154000.ckpt,./checkpoints/go/9x9_11b128/training_steps_145000.ckpt,49,B+5.5,63
