iteration,step,train_step_rate,train_episode_return,train_num_episodes,eval_episode_return,eval_num_episodes
1,100000,2662.6903095761904,-175.8847804943922,657,-69.69669927355982,96
2,200000,2644.270963354478,124.1673502415776,240,506.7684359094238,24
3,300000,2706.1084043019746,651.5634846231667,113,391.26155829948425,26
4,400000,2643.322366738595,659.5642310882425,111,672.5764240535989,21
5,500000,2661.8338410812457,666.652897675973,126,542.4554942040543,28
6,600000,2668.4788724880846,596.9382387155874,141,729.5775376693065,24
7,700000,2663.4935321605567,666.9873805067734,135,602.2220934180948,25
8,800000,2721.792968461573,627.0186600595395,137,526.3547423648166,28
9,900000,2829.7598057703904,695.2583681880596,131,658.6509238743442,30
10,1000000,2678.714577841757,694.5333352294147,140,699.4959521547764,29
11,1100000,2808.2366424223496,746.9529842837771,138,913.9018765636007,25
12,1200000,2867.0997770049503,757.1099740988066,144,684.8130247485951,32
13,1300000,2857.5118372374327,785.816640141858,148,892.849308936023,28
14,1400000,2785.3692906769484,976.3416125155286,142,1095.3395923373253,25
15,1500000,2806.0147238052045,1040.781355205556,137,903.096146662181,31
16,1600000,2770.323912365676,1051.4335360731227,139,1126.5146013210783,26
17,1700000,2718.1897919269895,1112.2475715355652,139,1049.379188809227,27
18,1800000,2710.949766832119,1250.6172535687547,137,1688.8462469495516,24
19,1900000,2717.064081337877,1556.5795380466395,129,1677.1246525560646,24
20,2000000,2706.5923595902123,1453.421958532104,137,1756.1036427449556,21
21,2100000,2676.9913253764516,1380.3416930396493,140,1655.8027611774444,23
22,2200000,2121.4086762203383,1539.0384913086623,125,1616.176209593705,24
23,2300000,2213.644079357183,1641.120910714514,125,1731.8798524021463,25
24,2400000,2380.5775619447513,1738.6597973556763,126,1662.2562387320304,24
25,2500000,2448.717445379857,1595.3478245140252,132,1549.3469201579096,26
26,2600000,2140.9585690919953,1620.5698147309174,130,1921.5506901670226,22
27,2700000,2275.250768642827,1648.7436895880053,126,1553.103466458251,25
28,2800000,2274.01859114886,1673.3459130781032,126,1668.465235080064,23
29,2900000,2058.3706995637554,1564.422129189734,132,1812.6361979123865,23
30,3000000,2305.1695446837516,1737.2280776519415,122,1662.7760952329427,24
31,3100000,2162.049056270518,1561.6058042036066,129,1536.3468124902697,25
32,3200000,2289.745313956528,1581.478457005332,123,1779.2776995260065,23
33,3300000,2440.6639018445967,1436.296315592916,139,1456.0741834597588,25
34,3400000,2303.2769361938645,1199.6342280808983,146,1144.0341999296977,30
35,3500000,2130.4457783650137,1243.029167262286,137,1074.3671297975156,28
36,3600000,2818.0083595057426,1391.738189502725,132,1253.167111606425,26
37,3700000,2860.29664722672,1289.9404937408933,145,1462.4170619395852,28
38,3800000,2716.6705540366274,1311.1028288603172,149,1686.4982580156502,23
39,3900000,2821.854215931766,1438.171565931213,138,1584.1285759178315,26
40,4000000,2873.7271921066367,1528.086799575399,136,1629.9205877593097,24
