iteration,step,total_step,train_step_rate,train_episode_return,train_episode_visited_rooms,train_num_episodes,eval_episode_return,eval_episode_visited_rooms,eval_num_episodes
1,256000,8192000,70.89258967965503,0.07294973544973546,1.0,134.3125,0.0,1.0,111
2,512000,16384000,71.67020105354172,10.05610619407588,1.0116266385070067,107.84375,309.5238095238095,1.7142857142857142,21
3,768000,24576000,71.63543696044128,441.09283857676394,3.8749905678047227,26.71875,405.0,3.4,20
4,1024000,32768000,71.11137079106157,500.68713352888454,4.424137949285589,34.5625,493.3333333333333,4.6,15
5,1280000,40960000,72.2963012817291,495.35557575524774,4.490387533116765,54.0625,500.0,4.355555555555555,45
6,1536000,49152000,72.45071173440313,498.6611768242078,4.566798248022483,48.4375,500.0,4.838709677419355,31
7,1792000,57344000,72.6037240848773,495.53421349806126,4.503229198659618,39.625,500.0,4.44,25
8,2048000,65536000,73.04683329288716,519.9272985033977,4.522808118799338,37.34375,497.05882352941177,4.470588235294118,34
9,2304000,73728000,72.2826577987022,503.56236659149516,4.533908459400738,41.1875,500.0,4.5227272727272725,44
10,2560000,81920000,72.90400164731601,566.1886128827264,4.416112424562361,30.40625,596.0,4.56,25
11,2816000,90112000,72.38172379226789,590.3374393390382,4.3539865252325445,41.40625,600.0,4.733333333333333,15
12,3072000,98304000,70.40696467602402,715.0130373525981,4.33523780546053,44.25,802.3809523809524,4.190476190476191,42
13,3328000,106496000,71.31566363653454,1366.317326778638,4.714518493708846,48.875,2792.5925925925926,5.777777777777778,27
14,3584000,114688000,71.87070325233395,3970.78903132947,6.870856274913779,42.90625,2920.689655172414,5.517241379310345,29
15,3840000,122880000,71.58031573402842,5584.577588443085,7.72720091612167,48.4375,6636.170212765957,8.170212765957446,47
16,4096000,131072000,72.54863450892834,6597.161723382684,8.098652811775398,52.8125,6544.444444444444,7.955555555555556,45
17,4352000,139264000,72.26154059638974,6608.409921444098,8.04445299530209,51.78125,6700.0,8.090909090909092,44
18,4608000,147456000,71.57931095923806,6550.575162694913,8.057586235868083,55.78125,6700.0,8.125,16
19,4864000,155648000,71.55777058097866,6640.2409156585945,8.211723930422469,52.65625,6700.0,8.222222222222221,45
20,5120000,163840000,72.14218232846068,6631.718477219809,8.079724078835952,53.65625,6700.0,8.048780487804878,41
21,5376000,172032000,72.84783315208537,6628.001687822116,8.049423909272672,53.90625,6373.684210526316,8.131578947368421,38
22,5632000,180224000,72.23434159450352,6607.418961308296,8.025686281067454,53.09375,6631.818181818182,8.022727272727273,44
23,5888000,188416000,71.34055774934659,6649.389793650667,8.017199757346567,56.1875,6565.217391304348,7.913043478260869,46
24,6144000,196608000,71.75260175165258,6572.833536914228,8.001194631605726,51.09375,6700.0,8.022727272727273,44
25,6400000,204800000,71.39754903694319,6654.244768422654,8.056482518832544,50.75,6700.0,8.463414634146341,41
26,6656000,212992000,72.2574551245155,6660.968823149113,8.183359668698703,54.03125,6626.829268292683,8.414634146341463,41
27,6912000,221184000,71.98904794569799,6579.485674809026,8.97687985998146,44.9375,6096.774193548387,8.290322580645162,31
28,7168000,229376000,71.22825739354425,6630.342275137008,9.555843078236508,46.40625,6614.285714285715,9.714285714285714,35
29,7424000,237568000,71.2632683577649,6618.703314904828,9.560517432831478,42.53125,6700.0,9.3125,32
30,7680000,245760000,71.48772826693606,6633.288012209037,9.313334524017602,41.15625,6700.0,9.571428571428571,28
31,7936000,253952000,71.84151085039225,6624.31268429042,9.286391756075421,39.53125,6700.0,9.033333333333333,30
