datetime,black,white,game,game_result,game_length
2023-05-31 19:29:13,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_152000.ckpt,0,B+5.5,96
2023-05-31 19:29:29,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_152000.ckpt,1,B+11.5,130
2023-05-31 19:29:21,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_152000.ckpt,2,W+0.5,92
2023-05-31 19:29:25,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_152000.ckpt,3,B+5.5,110
2023-05-31 19:29:09,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_152000.ckpt,4,W+2.5,72
2023-05-31 19:29:36,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_152000.ckpt,5,B+10.5,162
2023-05-31 19:29:23,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_152000.ckpt,6,B+5.5,91
2023-05-31 19:29:26,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_152000.ckpt,7,B+3.5,114
2023-05-31 19:29:11,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_152000.ckpt,8,B+3.5,63
2023-05-31 19:29:13,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_152000.ckpt,9,W+6.5,80
2023-05-31 19:29:10,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_152000.ckpt,10,W+0.5,77
2023-05-31 19:29:14,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_152000.ckpt,11,W+4.5,96
2023-05-31 19:29:24,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_152000.ckpt,12,W+1.5,103
2023-05-31 19:29:36,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_152000.ckpt,13,W+9.5,121
2023-05-31 19:29:31,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_152000.ckpt,14,B+5.5,110
2023-05-31 19:29:11,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_152000.ckpt,15,B+1.5,77
2023-05-31 19:29:24,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_152000.ckpt,16,B+5.5,85
2023-05-31 19:29:26,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_152000.ckpt,17,W+6.5,94
2023-05-31 19:30:03,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_152000.ckpt,18,B+3.5,142
2023-05-31 19:29:41,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_152000.ckpt,19,B+3.5,94
2023-05-31 19:29:26,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_152000.ckpt,20,B+1.5,65
2023-05-31 19:29:32,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_152000.ckpt,21,B+9.5,95
2023-05-31 19:29:37,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_152000.ckpt,22,B+3.5,91
