datetime,black,white,game,game_result,game_length
2023-05-31 16:57:13,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,0,B+5.5,63
2023-05-31 16:57:40,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,1,B+5.5,130
2023-05-31 16:57:22,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,2,B+2.5,76
2023-05-31 16:57:17,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,3,B+2.5,70
2023-05-31 16:57:25,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,4,B+7.5,93
2023-05-31 16:57:33,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,5,B+8.5,121
2023-05-31 16:57:59,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,6,B+16.5,162
2023-05-31 16:57:41,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,7,B+5.5,121
2023-05-31 16:57:21,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,8,B+5.5,79
2023-05-31 16:57:31,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,9,B+11.5,91
2023-05-31 16:57:24,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,10,B+9.5,86
2023-05-31 16:57:54,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,11,W+9.5,162
2023-05-31 16:57:23,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,12,W+6.5,88
2023-05-31 16:57:33,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,13,B+5.5,114
2023-05-31 16:57:24,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,14,B+9.5,89
2023-05-31 16:57:22,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,15,B+3.5,75
2023-05-31 16:57:54,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,16,B+9.5,133
2023-05-31 16:57:47,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,17,B+5.5,96
2023-05-31 16:57:53,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,18,B+3.5,106
2023-05-31 16:58:11,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,19,B+29.5,162
2023-05-31 16:58:03,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,20,W+0.5,105
2023-05-31 16:58:01,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,21,B+8.5,119
2023-05-31 16:58:00,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,22,B+3.5,95
2023-05-31 16:58:06,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,23,B+2.5,111
2023-05-31 16:58:04,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,24,B+8.5,121
2023-05-31 16:58:09,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,25,B+10.5,90
2023-05-31 16:58:16,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,26,B+7.5,101
2023-05-31 16:58:12,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,27,B+4.5,96
2023-05-31 16:58:11,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,28,B+3.5,96
2023-05-31 16:58:04,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,29,B+14.5,73
2023-05-31 16:58:17,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,30,B+2.5,101
2023-05-31 16:58:38,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,31,W+2.5,119
2023-05-31 16:58:25,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,32,B+15.5,79
2023-05-31 16:58:21,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,33,B+8.5,87
2023-05-31 16:58:23,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,34,W+0.5,82
2023-05-31 16:58:39,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,35,B+5.5,101
2023-05-31 16:58:37,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,36,B+5.5,103
2023-05-31 16:58:30,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,37,B+1.5,83
2023-05-31 16:58:33,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,38,B+9.5,92
2023-05-31 16:58:38,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,39,B+8.5,102
2023-05-31 16:58:39,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,40,B+7.5,95
2023-05-31 16:58:44,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,41,B+7.5,95
2023-05-31 16:58:39,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_140000.ckpt,42,W+3.5,82
