iteration,step,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_step_rate,train_step_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
1,1000000,2455.2366863905327,1625.1470588235295,338,340,1327.3370676185846,389.5954783093528,0.8200008999999999,0.0707713607142515,0.0707713607142515,0.9292286392857484
2,2000000,1487.6777251184835,1956.530612244898,211,343,1356.8012987178715,291.3165185454102,0.5950008999999999,0.0094538943007372,0.0094538943007372,0.9905461056992628
3,3000000,2672.706422018349,2088.3238636363635,218,352,1348.5252804883776,271.3948290481508,0.3700008999999999,0.0845531494672422,0.0845531494672422,0.9154468505327578
4,4000000,2233.214285714286,2241.2012987012986,252,308,1343.6017917177187,270.52382642906235,0.1450009,0.0567010542611797,0.0567010542611797,0.9432989457388202
5,5000000,2172.4615384615386,2128.694158075601,195,291,1347.3115500869994,276.9180404987948,0.1,0.0528509482848974,0.0528509482848974,0.9471490517151026
6,6000000,2473.730769230769,2223.686131386861,260,274,1306.1413717757478,271.13754439482244,0.1,0.0719433929611691,0.0719433929611691,0.9280566070388307
7,7000000,3008.6,2998.181818181818,200,242,1261.923350144776,274.174589879602,0.1,0.1058398555087296,0.1058398555087296,0.8941601444912703
8,8000000,3975.357142857143,3006.483050847457,140,236,1295.8621621713223,280.078762397386,0.1,0.1671065079918338,0.1671065079918338,0.8328934920081661
9,9000000,3532.5153374233128,2670.7438016528927,163,242,1290.2979042554864,270.4897939807459,0.1,0.1390421329841448,0.1390421329841448,0.8609578670158552
10,10000000,3141.3194444444443,3007.721518987342,144,237,1294.8741911769382,283.4762121520715,0.1,0.114250733194616,0.114250733194616,0.8857492668053839
11,11000000,4059.74025974026,3396.431718061674,154,227,1320.544786240317,277.0667790459798,0.1,0.1724541499882924,0.1724541499882924,0.8275458500117077
12,12000000,4165.170454545455,3478.5087719298244,176,228,1354.788748946117,287.8646371568017,0.1,0.1791356161187271,0.1791356161187271,0.8208643838812728
13,13000000,4816.290322580645,3395.7327586206898,124,232,1317.7209122574916,302.48510614124945,0.1,0.2203992726373234,0.2203992726373234,0.7796007273626766
14,14000000,5405.727272727273,2954.84375,110,256,1362.9863510777811,303.85431803748014,0.1,0.2577538751371889,0.2577538751371889,0.742246124862811
15,15000000,3060.745341614907,2454.252491694352,161,301,1266.716635170064,298.2203772525023,0.1,0.1091444812329229,0.1091444812329229,0.8908555187670771
16,16000000,4266.206896551724,2837.566539923954,145,263,1305.294792499415,296.7001710837447,0.1,0.1855386353529404,0.1855386353529404,0.8144613646470595
17,17000000,3677.307692307693,3392.051282051282,182,234,1293.0188190070369,297.5300738028598,0.1,0.1482181116199938,0.1482181116199938,0.8517818883800061
18,18000000,4470.780141843971,3012.9761904761904,141,252,1313.1244247810075,297.7444043906977,0.1,0.1985031301273152,0.1985031301273152,0.8014968698726848
19,19000000,4518.770053475936,2942.16,187,250,1288.3114552323966,297.7885061590512,0.1,0.2015444122738956,0.2015444122738956,0.7984555877261044
20,20000000,4621.89349112426,2995.97510373444,169,241,1346.0355482471496,289.7315767971146,0.1,0.2080796914429646,0.2080796914429646,0.7919203085570354
21,21000000,4156.55462184874,3505.4424778761063,119,226,1292.7806142872837,281.7446796274602,0.1,0.178589601815567,0.178589601815567,0.821410398184433
22,22000000,4936.551724137931,3008.934426229508,145,244,1346.5447488531656,273.4982358358375,0.1,0.2280206422344137,0.2280206422344137,0.7719793577655862
23,23000000,4910.619469026548,3228.1171548117154,113,239,1309.4560926496845,291.432934231283,0.1,0.22637722798736,0.22637722798736,0.77362277201264
24,24000000,5126.384615384615,3256.016597510373,130,241,1345.7756901674104,266.3897865483556,0.1,0.24005099118379,0.24005099118379,0.75994900881621
25,25000000,4770.878378378378,3662.294372294373,148,231,1260.4958460284945,274.3594519398319,0.1,0.2175213649594967,0.2175213649594967,0.7824786350405033
26,26000000,4025.8333333333335,3205.236220472441,132,254,1312.3119147718592,274.9298706626818,0.1,0.17030535399305,0.17030535399305,0.82969464600695
27,27000000,3515.220588235294,3634.0611353711793,136,229,1357.4897920734184,275.7232722807952,0.1,0.1379461065455365,0.1379461065455365,0.8620538934544635
28,28000000,4571.29213483146,3620.909090909091,178,231,1376.391375338752,281.4148460305911,0.1,0.2048729132628702,0.2048729132628702,0.7951270867371298
29,29000000,4566.585365853659,3496.721991701245,164,241,1337.9291365433814,299.101814746456,0.1,0.2045746294783522,0.2045746294783522,0.7954253705216477
30,30000000,5859.421487603306,3743.097345132743,121,226,1343.5347822313297,272.94345980138087,0.1,0.2865060038406353,0.2865060038406353,0.7134939961593647
31,31000000,4886.884057971014,3327.8486055776893,138,251,1285.1773513126443,278.64780187683385,0.1,0.2248730351386935,0.2248730351386935,0.7751269648613065
32,32000000,5653.684210526316,3856.46551724138,114,232,1370.7667069915751,279.2922677071495,0.1,0.2734677404560547,0.2734677404560547,0.7265322595439452
33,33000000,5795.0,3309.920948616601,114,253,1296.8043781482274,276.9597084721664,0.1,0.2824233974460534,0.2824233974460534,0.7175766025539465
34,34000000,3813.776595744681,3748.025751072961,188,233,1355.8021291950397,276.66388378492417,0.1,0.1568666051360741,0.1568666051360741,0.8431333948639259
35,35000000,3308.5714285714284,3867.1491228070176,126,228,1413.2491491200406,268.2879155614967,0.1,0.1248500540936929,0.1248500540936929,0.875149945906307
36,36000000,5128.170731707317,3507.795918367347,164,245,1399.8392571425986,266.60789962735737,0.1,0.2401641833839676,0.2401641833839676,0.7598358166160324
37,37000000,5718.095238095239,3855.7758620689656,147,232,1403.5035170255085,255.87929368534787,0.1,0.2775496839630684,0.2775496839630684,0.7224503160369316
38,38000000,5849.640287769784,3946.347826086957,139,230,1376.5918623160462,268.9608962981271,0.1,0.2858861363015167,0.2858861363015167,0.7141138636984832
39,39000000,5777.517730496454,3700.1234567901233,141,243,1404.0325264496992,257.69394426947366,0.1,0.281315487214199,0.281315487214199,0.718684512785801
40,40000000,4283.254437869822,4194.14847161572,169,229,1355.2896129700257,260.54943566251376,0.1,0.1866189953971813,0.1866189953971813,0.8133810046028187
41,41000000,5402.193548387097,3740.204081632653,155,245,1237.8552033593423,277.2853569777316,0.1,0.2575299311376847,0.2575299311376847,0.7424700688623153
42,42000000,5015.958904109589,3825.504201680672,146,238,1303.822728585758,258.98355014091214,0.1,0.2330529423688702,0.2330529423688702,0.7669470576311297
43,43000000,6121.240310077519,3945.0,129,238,1307.5652801267502,249.5482373700145,0.1,0.3030983434251731,0.3030983434251731,0.6969016565748269
44,44000000,5209.718309859155,3993.75,142,232,1328.011265548747,248.9543992420141,0.1,0.2453321277517763,0.2453321277517763,0.7546678722482236
45,45000000,5798.5625,3905.3813559322034,160,236,1365.7704754530405,242.77244202900783,0.1,0.282649165055927,0.282649165055927,0.7173508349440729
46,46000000,5112.222222222223,3765.182186234818,189,247,1270.882524187155,261.6828625136314,0.1,0.2391534726843197,0.2391534726843197,0.7608465273156804
47,47000000,6147.846153846154,4266.153846153846,130,221,1379.8117688812065,263.9526222512168,0.1,0.304784445251507,0.304784445251507,0.6952155547484931
48,48000000,4784.038461538462,3654.285714285714,156,259,1299.660569154156,270.7180226976512,0.1,0.2183553637021744,0.2183553637021744,0.7816446362978255
49,49000000,5933.046875,4029.753086419753,128,243,1363.8425434007167,284.70500464452533,0.1,0.2911718923286542,0.2911718923286542,0.7088281076713457
50,50000000,3965.3225806451615,4399.058295964125,124,223,1326.359360987604,283.9911823535978,0.1,0.1664705840264369,0.1664705840264369,0.8335294159735631
