iteration,step,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_step_rate,train_step_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
1,1000000,-17.991071428571427,-20.22222222222222,112,261,1465.5761562268249,300.74640189686704,0.8200008999999999,0.0767401861594496,0.0767401861594496,0.9232598138405504
2,2000000,-15.840909090909092,-18.91219512195122,88,205,1508.2130786883422,248.1465220967356,0.5950008999999999,0.1376513005408189,0.1376513005408189,0.8623486994591811
3,3000000,-11.681159420289855,-17.63803680981595,69,163,1502.459557437754,240.3969418547713,0.3700008999999999,0.2554912345526953,0.2554912345526953,0.7445087654473047
4,4000000,-7.967741935483871,-12.721153846153848,62,104,1467.7110532249244,233.74760554357132,0.1450009,0.3606871972950745,0.3606871972950745,0.6393128027049255
5,5000000,0.196078431372549,-4.361111111111111,51,72,1495.1454548604283,235.63350087376853,0.1,0.5919568960728767,0.5919568960728767,0.4080431039271233
6,6000000,7.291666666666667,-0.373134328358209,48,67,1275.461970242152,243.05256697805265,0.1,0.7929650613786592,0.7929650613786592,0.2070349386213408
7,7000000,9.375,3.657894736842105,72,76,1193.0314943561943,224.9450374887084,0.1,0.8519830028328612,0.8519830028328612,0.1480169971671388
8,8000000,17.03,5.908045977011494,100,87,1356.291829740781,213.4649669575485,0.1,1.0688385269121814,1.0,0.0
9,9000000,18.641509433962263,8.747252747252746,106,91,1304.1649406104564,223.5672119216049,0.1,1.1144903522368912,1.0,0.0
10,10000000,19.13888888888889,10.693877551020408,108,98,1283.6239069526123,220.7756633633261,0.1,1.128580421781555,1.0,0.0
11,11000000,16.80808080808081,12.098039215686274,99,102,1314.9935681950674,222.29869504988577,0.1,1.062551864251581,1.0,0.0
12,12000000,17.65,11.666666666666666,100,102,1349.3798910832195,218.41624505009648,0.1,1.086402266288952,1.0,0.0
13,13000000,18.95412844036697,13.333333333333334,109,108,1314.7093447621537,221.63198441349613,0.1,1.1233464147412742,1.0,0.0
14,14000000,19.52830188679245,13.83783783783784,106,111,1242.419699450335,216.351823050086,0.1,1.1396119514672085,1.0,0.0
15,15000000,17.29090909090909,13.440366972477063,110,109,1315.3969431400596,219.53210153507263,0.1,1.0762297192892092,1.0,0.0
16,16000000,19.327433628318584,13.49090909090909,113,110,1330.243186729021,217.50495851466755,0.1,1.1339216325302717,1.0,0.0
17,17000000,19.446428571428573,14.044642857142858,112,112,1338.1953029319775,219.5614864615411,0.1,1.137292594091461,1.0,0.0
18,18000000,18.257142857142856,13.018691588785046,105,107,1322.1625344807564,222.942639293344,0.1,1.103601780655605,1.0,0.0
19,19000000,18.63302752293578,13.99099099099099,109,111,1294.5056003502525,211.43112629469672,0.1,1.1142500714712686,1.0,0.0
20,20000000,19.59649122807017,14.473684210526317,114,114,1295.179343282147,206.39099742931208,0.1,1.1415436608518463,1.0,0.0
