iteration,step,total_step,train_step_rate,train_episode_return,train_episode_visited_rooms,train_num_episodes,eval_episode_return,eval_episode_visited_rooms,eval_num_episodes
1,256000,8192000,70.42745483866742,0.04865654913364837,1.0,134.0,0.0,1.0,10
2,512000,16384000,70.84857497648682,28.66467604238087,1.0736702234595028,96.875,0.0,1.0,10
3,768000,24576000,70.56231745699309,457.0827152848037,3.893915547494422,27.21875,0.0,1.0,10
4,1024000,32768000,70.87011828189355,473.3387395045913,3.9560542748007936,37.6875,0.0,1.0,10
5,1280000,40960000,70.36831887563321,492.7135541749804,4.324754154329348,48.15625,360.0,2.4,10
6,1536000,49152000,70.2638808094319,496.7587731275005,4.293782171811335,43.40625,400.0,3.0,10
7,1792000,57344000,70.39158145386406,489.9260207333555,4.189202164058152,40.4375,400.0,3.0,10
8,2048000,65536000,70.2846413053118,494.2117008067502,4.16276046157761,32.96875,470.0,3.6,10
9,2304000,73728000,69.89360214903655,492.5332318267,4.1419342554561105,36.65625,400.0,2.0,10
10,2560000,81920000,69.77363976242296,504.2922060300447,4.150128473205449,33.96875,527.2727272727273,3.272727272727273,11
11,2816000,90112000,69.9254015542539,577.464740886953,4.185835981808978,32.4375,450.0,2.8,10
12,3072000,98304000,70.77011696775081,589.1073343409081,4.182747601888687,31.5,500.0,3.6153846153846154,13
13,3328000,106496000,70.67380957185901,579.5089159680665,4.06591578830458,40.34375,600.0,4.0,17
14,3584000,114688000,71.10930429301739,1987.0778391710483,5.355551418429262,41.46875,3690.0,6.0,10
15,3840000,122880000,71.49739039292682,3491.2205128784976,6.808869889888518,41.03125,3670.0,6.0,10
16,4096000,131072000,71.04220859107306,3472.2881610404665,7.024250614232699,45.84375,3695.4545454545455,6.863636363636363,22
17,4352000,139264000,70.31141803025557,3615.683449521789,7.349083548760378,43.34375,3700.0,6.090909090909091,11
18,4608000,147456000,71.0621754400354,3513.92059477487,7.240275158288546,45.375,730.0,1.9,10
19,4864000,155648000,70.34437910712111,3498.470141067885,7.286249221989753,43.53125,3478.5714285714284,6.142857142857143,14
20,5120000,163840000,71.40249910902203,3498.2886624212306,7.205663304718233,43.40625,3042.8571428571427,6.285714285714286,14
21,5376000,172032000,71.06713945458976,3500.0241329124055,7.173970834590989,42.25,3575.0,7.375,24
22,5632000,180224000,70.20181615140427,3543.8798229748318,7.257705908501089,42.25,3464.285714285714,6.785714285714286,14
23,5888000,188416000,70.10321676308908,3548.6077283010272,7.298905277831539,42.25,3461.5384615384614,6.923076923076923,13
24,6144000,196608000,70.78448260898514,3533.1671380208563,7.35222266683503,40.4375,3547.6190476190477,8.142857142857142,21
25,6400000,204800000,70.89171360571567,3543.141454064087,7.422101473728953,39.0625,1976.923076923077,5.461538461538462,13
26,6656000,212992000,70.39793555989121,3500.521894040091,7.2939680930273845,37.125,2764.285714285714,6.571428571428571,14
27,6912000,221184000,71.80294617138237,3505.21743085402,7.198809642673128,39.34375,500.0,3.0,10
28,7168000,229376000,72.34241574469115,3539.843321517207,7.296346990702794,37.875,3425.0,6.666666666666667,12
29,7424000,237568000,72.07125073473395,3543.2337596937114,7.158541401282083,37.9375,3700.0,6.8125,16
