iteration,step,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_step_rate,train_step_rate,train_exploration_epsilon
1,20000,-200.0,-200.0,100,100,22271.29499156762,1870.4788282146053,0.8020099
2,40000,-200.0,-200.0,100,100,22059.521364547847,1971.73422802914,0.6040098999999999
3,60000,-200.0,-200.0,100,100,22283.20300505065,1909.7162933819836,0.4060099
4,80000,-200.0,-200.0,100,100,21950.177695221337,1727.6816202105458,0.2080099
5,100000,-200.0,-200.0,100,100,22086.240820341376,1852.9126294062228,0.0100098999999999
6,120000,-200.0,-200.0,100,100,22016.65082092364,1938.7488343260984,0.01
7,140000,-200.0,-199.93,100,100,22148.4207067106,1990.9863994040895,0.01
8,160000,-200.0,-198.84,100,100,18078.82981044258,1778.8422654508597,0.01
9,180000,-200.0,-198.86,100,100,18009.10772801592,1764.6149339954927,0.01
10,200000,-200.0,-199.72,100,100,18081.705237322,1760.1363907159844,0.01
11,220000,-200.0,-200.0,100,100,22390.234737358947,1931.087590783677,0.01
12,240000,-200.0,-200.0,100,100,22261.708234615424,1943.7126211739555,0.01
13,260000,-200.0,-200.0,100,100,22266.693683440066,1947.7978833038903,0.01
14,280000,-200.0,-200.0,100,100,22251.165895982,1935.670499950193,0.01
15,300000,-200.0,-200.0,100,100,22454.359759558192,1926.983889397754,0.01
16,320000,-200.0,-200.0,100,100,22139.696135844144,1906.3918683568168,0.01
17,340000,-200.0,-200.0,100,100,22352.93428387272,1864.2229096490464,0.01
18,360000,-200.0,-200.0,100,100,22311.786816633696,1896.4581879916925,0.01
19,380000,-200.0,-200.0,100,100,22404.78924054695,1896.0563456971504,0.01
20,400000,-200.0,-200.0,100,100,21135.661087959525,1827.880165488061,0.01
21,420000,-200.0,-200.0,100,100,21399.934677973917,1874.0476005175717,0.01
22,440000,-200.0,-200.0,100,100,22046.09965540543,1868.9644988606813,0.01
23,460000,-200.0,-200.0,100,100,22338.948540033525,1883.088981907213,0.01
24,480000,-200.0,-200.0,100,100,22221.92395459518,1883.885073789521,0.01
25,500000,-200.0,-200.0,100,100,22393.0852445519,1917.6929256928615,0.01
26,520000,-200.0,-200.0,100,100,22305.09524223653,1916.128305238186,0.01
27,540000,-200.0,-200.0,100,100,22275.960799548517,1919.7481764648687,0.01
28,560000,-200.0,-200.0,100,100,22300.89203834664,1917.110468282449,0.01
29,580000,-200.0,-200.0,100,100,22261.42077503801,1916.9518604286395,0.01
30,600000,-200.0,-200.0,100,100,22204.12428197511,1913.2262436065505,0.01
31,620000,-200.0,-200.0,100,100,22267.651199698947,1919.909817688868,0.01
32,640000,-200.0,-200.0,100,100,22305.12516792965,1924.1460979829087,0.01
33,660000,-200.0,-200.0,100,100,22881.667559188103,1915.115649030614,0.01
34,680000,-200.0,-200.0,100,100,23487.723707877933,1948.339857332128,0.01
35,700000,-200.0,-200.0,100,100,23106.39681467283,1893.5018676986683,0.01
36,720000,-200.0,-200.0,100,100,22301.80591926953,1918.754942144776,0.01
37,740000,-200.0,-200.0,100,100,20508.032234345468,1931.7373026113655,0.01
38,760000,-200.0,-200.0,100,100,23146.874078804685,1871.1816687333644,0.01
39,780000,-200.0,-200.0,100,100,22540.647030368287,1932.227906881422,0.01
40,800000,-200.0,-200.0,100,100,22366.43483079261,1919.186168215082,0.01
41,820000,-200.0,-200.0,100,100,22510.22808489896,1917.310961008512,0.01
42,840000,-200.0,-200.0,100,100,22603.92480489633,1917.316885215457,0.01
43,860000,-200.0,-200.0,100,100,22255.60218822838,1913.599079906151,0.01
44,880000,-200.0,-200.0,100,100,22217.035408451746,1911.9961349771304,0.01
45,900000,-200.0,-200.0,100,100,22417.15166040077,1914.0422346029047,0.01
46,920000,-200.0,-200.0,100,100,22505.499621133225,1916.429831169794,0.01
47,940000,-200.0,-200.0,100,100,22545.631922187236,1895.4581026405,0.01
48,960000,-200.0,-200.0,100,100,22665.29679122592,1900.0551213307228,0.01
49,980000,-200.0,-200.0,100,100,18123.06909005463,1649.6187527377606,0.01
50,1000000,-200.0,-200.0,100,100,19616.70421407626,1607.9267347057676,0.01
