iteration,step,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes
1,20000,68.17064846416382,40.38989898989899,293,495
2,40000,181.26363636363635,107.9891891891892,110,185
3,60000,294.6119402985075,237.5119047619048,67,84
4,80000,316.1269841269841,327.08196721311475,63,61
5,100000,382.13461538461536,350.75,52,56
6,120000,427.69565217391306,394.3,46,50
7,140000,408.0816326530612,397.58,49,50
8,160000,367.27777777777777,357.94545454545454,54,55
9,180000,438.0444444444444,448.27272727272725,45,44
10,200000,448.70454545454544,462.6511627906977,44,43
11,220000,468.57142857142856,470.3809523809524,42,42
12,240000,469.7380952380952,424.51063829787233,42,47
13,260000,421.93617021276594,461.8139534883721,47,43
14,280000,435.0,434.0217391304348,45,46
15,300000,445.3863636363636,468.54761904761904,44,42
16,320000,481.3170731707317,461.8837209302326,41,43
17,340000,440.8222222222222,461.0232558139535,45,43
18,360000,462.5348837209302,414.8541666666667,43,48
19,380000,480.8780487804878,482.780487804878,41,41
20,400000,493.125,489.975,40,40
21,420000,495.475,491.7,40,40
22,440000,481.9756097560976,461.7906976744186,41,43
23,460000,478.5609756097561,479.1219512195122,41,41
24,480000,478.5121951219512,484.780487804878,41,41
25,500000,487.6829268292683,489.875,41,40
26,520000,487.0975609756098,458.0697674418605,41,43
27,540000,491.85,495.15,40,40
28,560000,480.4146341463415,492.3,41,40
29,580000,476.0731707317073,474.45238095238096,41,42
30,600000,500.0,496.65,40,40
31,620000,489.05,495.625,40,40
32,640000,481.609756097561,492.6,41,40
33,660000,471.8571428571428,488.55,42,40
34,680000,489.525,472.6428571428572,40,42
35,700000,492.4,491.65,40,40
36,720000,486.8780487804878,497.25,41,40
37,740000,493.8,482.6341463414634,40,41
38,760000,495.875,500.0,40,40
39,780000,484.0731707317073,495.05,41,40
40,800000,492.4,495.9,40,40
41,820000,500.0,495.175,40,40
42,840000,490.725,497.85,40,40
43,860000,497.975,488.75,40,40
44,880000,500.0,492.825,40,40
45,900000,481.9512195121951,485.0975609756098,41,41
46,920000,493.175,472.8571428571428,40,42
47,940000,387.1764705882353,462.7906976744186,51,43
48,960000,490.575,480.5609756097561,40,41
49,980000,495.25,485.4634146341463,40,41
50,1000000,495.9,491.575,40,40
