datetime,black,white,game,game_result,game_length
2023-05-31 20:10:37,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,0,W+0.5,70
2023-05-31 20:10:41,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,1,B+1.5,62
2023-05-31 20:10:38,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,2,W+2.5,72
2023-05-31 20:10:48,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,3,W+2.5,75
2023-05-31 20:10:47,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,4,W+0.5,74
2023-05-31 20:10:58,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,5,W+4.5,100
2023-05-31 20:10:48,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,6,W+4.5,107
2023-05-31 20:10:38,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,7,W+0.5,70
2023-05-31 20:10:51,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,8,B+5.5,97
2023-05-31 20:10:59,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,9,W+10.5,105
2023-05-31 20:10:45,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,10,B+9.5,87
2023-05-31 20:10:41,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,11,B+1.5,72
2023-05-31 20:10:48,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,12,W+8.5,85
2023-05-31 20:10:46,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,13,B+3.5,91
2023-05-31 20:10:51,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,14,B+11.5,81
2023-05-31 20:10:46,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,15,B+11.5,68
2023-05-31 20:10:52,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,16,B+1.5,81
2023-05-31 20:11:02,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,17,W+5.5,92
2023-05-31 20:10:58,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,18,B+3.5,98
2023-05-31 20:11:02,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,19,W+11.5,72
2023-05-31 20:11:09,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,20,W+0.5,117
2023-05-31 20:10:58,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,21,B+1.5,73
2023-05-31 20:11:02,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,22,W+4.5,85
2023-05-31 20:11:26,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,23,W+6.5,104
2023-05-31 20:11:23,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,24,B+6.5,107
2023-05-31 20:11:38,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,25,B+8.5,162
2023-05-31 20:11:11,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,26,W+0.5,106
2023-05-31 20:11:04,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,27,B+1.5,76
2023-05-31 20:11:08,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,28,W+0.5,77
2023-05-31 20:11:17,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,29,B+1.5,83
2023-05-31 20:11:10,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_179000.ckpt,30,W+2.5,84
