iteration,step,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes
1,20000,102.4102564102564,43.40522875816993,195,459
2,40000,238.6144578313253,150.28030303030303,83,132
3,60000,288.60869565217394,250.36708860759487,69,79
4,80000,321.8709677419355,291.8235294117647,62,68
5,100000,344.3103448275862,321.9193548387097,58,62
6,120000,348.57894736842104,359.94545454545454,57,55
7,140000,370.37735849056605,339.7758620689655,53,58
8,160000,420.1914893617021,376.8301886792453,47,53
9,180000,425.82608695652175,381.46153846153845,46,52
10,200000,431.2173913043478,421.82978723404256,46,47
11,220000,442.5111111111111,433.6521739130435,45,46
12,240000,445.1818181818182,412.9166666666667,44,48
13,260000,447.02272727272725,470.9761904761905,44,42
14,280000,453.86046511627904,449.20454545454544,43,44
15,300000,446.84090909090907,465.9285714285714,44,42
16,320000,466.6666666666667,453.04545454545456,42,44
17,340000,464.2558139534884,452.79545454545456,43,44
18,360000,479.3170731707317,472.0952380952381,41,42
19,380000,477.609756097561,486.7073170731707,41,41
20,400000,477.1219512195122,485.4634146341463,41,41
21,420000,470.1904761904762,495.475,42,40
22,440000,479.4634146341463,470.5952380952381,41,42
23,460000,487.6829268292683,473.4285714285714,41,42
24,480000,475.0238095238095,487.75,42,40
25,500000,459.09302325581393,465.54761904761904,43,42
26,520000,485.3658536585366,468.0952380952381,41,42
27,540000,460.13953488372096,467.45238095238096,43,42
28,560000,471.4761904761905,469.1190476190476,42,42
29,580000,453.8863636363636,486.9024390243902,44,41
30,600000,465.4761904761905,465.2619047619048,42,42
31,620000,491.425,486.2682926829268,40,41
32,640000,474.6190476190476,486.5853658536585,42,41
33,660000,473.3095238095238,478.4878048780488,42,41
34,680000,492.225,488.725,40,40
35,700000,475.1190476190476,476.0,42,42
36,720000,485.5365853658537,476.0487804878049,41,41
37,740000,494.325,487.0731707317073,40,41
38,760000,497.525,495.15,40,40
39,780000,493.425,496.175,40,40
40,800000,466.6666666666667,469.6666666666667,42,42
41,820000,488.175,467.8571428571428,40,42
42,840000,496.7,487.9,40,40
43,860000,489.675,475.7560975609756,40,41
44,880000,478.219512195122,495.225,41,40
45,900000,499.625,499.125,40,40
46,920000,494.4,481.7560975609756,40,41
47,940000,492.8,488.875,40,40
48,960000,497.1,493.075,40,40
49,980000,473.3095238095238,484.4878048780488,42,41
50,1000000,499.95,485.4390243902439,40,41
