iteration,step,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes
1,20000,85.02978723404256,39.934,235,500
2,40000,153.43846153846152,120.83536585365852,130,164
3,60000,227.41379310344828,173.8608695652174,87,115
4,80000,237.8690476190476,220.92222222222225,84,90
5,100000,296.2686567164179,263.0394736842105,67,76
6,120000,263.4,272.958904109589,75,73
7,140000,313.3492063492063,284.42857142857144,63,70
8,160000,337.93220338983053,214.8586956521739,59,92
9,180000,331.0833333333333,346.87719298245617,60,57
10,200000,362.7636363636364,336.03389830508473,55,59
11,220000,354.7142857142857,271.2602739726028,56,73
12,240000,363.3333333333333,366.4814814814815,54,54
13,260000,338.5762711864407,335.93220338983053,59,59
14,280000,368.44444444444446,290.9264705882353,54,68
15,300000,355.5178571428572,346.9298245614035,56,57
16,320000,301.6969696969697,355.67857142857144,66,56
17,340000,383.8235294117647,384.078431372549,51,51
18,360000,415.3191489361702,402.18367346938777,47,49
19,380000,332.4166666666667,324.27868852459017,60,61
20,400000,330.0833333333333,373.245283018868,60,53
21,420000,386.2745098039216,349.2280701754386,51,57
22,440000,316.92063492063494,367.1851851851852,63,54
23,460000,290.9852941176471,269.9189189189189,68,74
24,480000,325.78688524590166,325.6065573770492,61,61
25,500000,376.0,347.6140350877193,52,57
26,520000,396.06,347.1929824561403,50,57
27,540000,315.95238095238096,365.5,63,54
28,560000,366.5185185185185,375.2641509433962,54,53
29,580000,349.25,363.9074074074074,56,54
30,600000,271.041095890411,232.9058823529412,73,85
31,620000,316.06349206349205,298.6212121212121,63,66
32,640000,325.9344262295082,335.728813559322,61,59
33,660000,349.5438596491228,285.4714285714286,57,70
34,680000,333.1666666666667,330.6666666666667,60,60
35,700000,409.9791666666667,363.6,48,55
36,720000,347.8070175438597,360.1454545454545,57,55
37,740000,369.8703703703704,341.32758620689657,54,58
38,760000,312.53968253968253,310.0,63,64
39,780000,384.4230769230769,305.03076923076924,52,65
40,800000,319.7903225806452,321.85483870967744,62,62
41,820000,296.1194029850746,298.5757575757576,67,66
42,840000,435.06666666666666,392.0,45,51
43,860000,454.20454545454544,451.1136363636364,44,44
44,880000,441.22222222222223,470.3095238095238,45,42
45,900000,455.5813953488372,427.3695652173913,43,46
46,920000,425.8043478260869,462.3953488372093,46,43
47,940000,469.2619047619048,458.8139534883721,42,43
48,960000,476.1428571428572,454.5116279069768,42,43
49,980000,483.3658536585366,467.7619047619048,41,42
50,1000000,485.7073170731707,490.825,41,40
