iteration,step,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_step_rate,train_step_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
1,1000000,-20.02238805970149,-20.14885496183206,134,262,1423.8970682970098,390.3791342567205,0.8200008999999999,0.0191958056741787,0.0191958056741787,0.9808041943258212
2,2000000,-17.813953488372093,-18.7948717948718,86,195,1428.0936769077362,303.2522935731685,0.5950008999999999,0.0817576915475327,0.0817576915475327,0.9182423084524672
3,3000000,-2.39344262295082,-16.305555555555557,61,144,1110.1944920057083,206.78656528671283,0.3700008999999999,0.5185993591232063,0.5185993591232063,0.4814006408767937
4,4000000,-2.8653846153846154,-9.691489361702128,52,94,1239.6765180593657,142.09690343047473,0.1450009,0.5052298975811723,0.5052298975811723,0.4947701024188277
5,5000000,9.327272727272728,-0.7761194029850746,55,67,1113.423229700957,151.42112948080407,0.1,0.8506309554468195,0.8506309554468195,0.1493690445531804
6,6000000,16.182926829268293,0.3421052631578947,82,76,1220.7993931911951,158.53782868971132,0.1,1.0448421198093,1.0,0.0
7,7000000,19.486238532110093,8.070588235294117,109,85,1092.2580106462456,139.69859748914263,0.1,1.1384203550172831,1.0,0.0
8,8000000,19.92982456140351,12.25,114,100,1194.7825653103137,104.22320912663328,0.1,1.150986531484519,1.0,0.0
9,9000000,16.705263157894738,12.970873786407768,95,103,1216.2047788193684,190.6250285552005,0.1,1.0596391829431937,1.0,0.0
10,10000000,19.06422018348624,13.480392156862743,109,102,1150.3316619352104,189.35124578543665,0.1,1.126465161005276,1.0,0.0
11,11000000,20.181818181818183,13.323809523809524,110,105,1210.3256242182158,187.7451376069092,0.1,1.1581251609580223,1.0,0.0
12,12000000,19.48148148148148,14.10091743119266,108,109,1135.1229867780391,173.35922903682354,0.1,1.138285594376246,1.0,0.0
13,13000000,10.287671232876711,14.518181818181818,73,110,1283.557789813928,188.49667724025835,0.1,0.8778377119795104,0.8778377119795104,0.1221622880204895
14,14000000,19.0,15.62280701754386,108,114,1178.1669921533523,188.57654591999224,0.1,1.124645892351275,1.0,0.0
15,15000000,19.98275862068965,15.42608695652174,116,115,1152.6290264125353,188.0768571721188,0.1,1.1524860799062226,1.0,0.0
16,16000000,20.353982300884955,15.543859649122806,113,114,1167.6589298107776,190.1112755424837,0.1,1.1630023314698288,1.0,0.0
17,17000000,20.19298245614035,15.873949579831931,114,119,1160.1577046950156,187.61061644826103,0.1,1.158441429352418,1.0,0.0
18,18000000,20.57983193277311,16.466101694915253,119,118,1084.2564368322053,214.19932008464903,0.1,1.1694003380388982,1.0,0.0
19,19000000,20.217391304347824,16.41176470588235,115,119,1128.7331060443644,220.5328866548921,0.1,1.1591328981401652,1.0,0.0
20,20000000,20.100840336134453,16.159663865546218,119,119,1295.651590932552,212.3414859929654,0.1,1.1558311709953104,1.0,0.0
