iteration,step,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_step_rate,train_step_rate,train_exploration_epsilon
1,20000,271.67123287671234,27.001351351351357,73,740,32312.438062810685,2340.0190262243696,0.8020099
2,40000,325.8,51.012787723785166,60,391,31662.626708112817,2311.750879330949,0.6040098999999999
3,60000,301.8484848484849,120.61349693251532,66,163,31509.929048053003,2312.1866456520547,0.4060099
4,80000,380.71153846153845,257.2597402597403,52,77,31557.993541698976,2262.158405675412,0.2080099
5,100000,500.0,440.73333333333335,40,45,31985.69251826268,2172.970464396033,0.0100098999999999
6,120000,500.0,499.175,40,40,31990.489662493408,2137.2831109463973,0.01
7,140000,500.0,488.775,40,40,31735.30893924863,2123.634306518909,0.01
8,160000,500.0,434.6,40,45,31528.82049323671,2074.1372747576024,0.01
9,180000,242.109756097561,425.19565217391306,82,46,31664.672887344608,1960.5186478798696,0.01
10,200000,449.6136363636364,488.325,44,40,31711.56927362901,2062.0846839525766,0.01
11,220000,500.0,437.8,40,45,31458.507677038564,2068.070986899369,0.01
12,240000,500.0,472.8571428571428,40,42,32154.66367503935,2048.5852577197466,0.01
13,260000,500.0,500.0,40,40,31806.37388982038,2082.2842303852426,0.01
14,280000,488.7,487.8,40,40,31915.86946170744,2016.7795404327417,0.01
15,300000,500.0,328.9833333333333,40,60,31993.90411186584,2037.2311607764836,0.01
16,320000,342.8793103448276,331.25,58,60,31802.82346134428,2037.1647895083845,0.01
17,340000,229.77011494252875,381.6730769230769,87,52,31898.81262810475,2033.057675983368,0.01
18,360000,500.0,292.29411764705884,40,68,31923.90204973868,2070.189835219611,0.01
19,380000,500.0,368.245283018868,40,53,32002.03814580689,2047.799314671103,0.01
20,400000,500.0,500.0,40,40,32039.752823490307,2042.7622912800327,0.01
21,420000,500.0,323.3114754098361,40,61,31930.97172750118,2026.5593534748125,0.01
22,440000,500.0,480.7317073170732,40,41,31807.825819023798,2020.4978127140917,0.01
23,460000,500.0,500.0,40,40,31810.56280522133,2011.115690627119,0.01
24,480000,489.875,467.5952380952381,40,42,31704.636913954862,2005.892047323624,0.01
25,500000,500.0,465.07142857142856,40,42,31767.17552424424,2009.197121724951,0.01
26,520000,500.0,500.0,40,40,32107.01622970642,1978.233391954996,0.01
27,540000,499.75,348.12280701754383,40,57,31791.33151708879,2009.423456543351,0.01
28,560000,486.6585365853659,309.796875,41,64,30978.977510964887,2016.2414214572943,0.01
29,580000,348.43859649122805,433.7608695652174,57,46,31789.399601859528,2001.5979777471389,0.01
30,600000,324.1967213114754,366.64814814814815,61,54,31666.679520701728,1996.7466695021171,0.01
31,620000,338.5762711864407,319.3709677419355,59,62,31057.529501733803,1938.7666627907945,0.01
32,640000,500.0,442.53333333333336,40,45,31955.803130227032,1954.0010700827056,0.01
33,660000,496.55,340.8103448275862,40,58,31898.17317152448,1983.0719168791256,0.01
34,680000,500.0,422.40425531914894,40,47,32089.20660811348,1981.130294015026,0.01
35,700000,243.5,433.5,82,46,31906.591589775788,1969.0445036793212,0.01
36,720000,141.7872340425532,353.4107142857143,141,56,32075.07924136488,1961.726974310776,0.01
37,740000,500.0,431.1739130434783,40,46,31929.08794782177,1959.3931806815108,0.01
38,760000,393.12,354.7857142857143,50,56,31748.67998910482,1951.0409500721823,0.01
39,780000,481.9512195121951,435.1333333333333,41,45,31981.48333519512,1936.746172337532,0.01
40,800000,300.54545454545456,341.5344827586207,66,58,31786.05745593475,1914.468440077788,0.01
41,820000,500.0,356.4909090909091,40,55,31982.98203436638,1914.179233988632,0.01
42,840000,305.4153846153846,468.7619047619048,65,42,31884.911895167395,1946.2844590147497,0.01
43,860000,482.9024390243902,402.6122448979592,41,49,31800.023643316632,1946.6490792762293,0.01
44,880000,500.0,407.7959183673469,40,49,31832.277715054268,1935.51379363636,0.01
45,900000,500.0,476.9024390243902,40,41,31769.696690530764,1928.6078558961976,0.01
46,920000,229.66666666666663,303.9384615384615,87,65,31822.59777497909,1911.589429506675,0.01
47,940000,500.0,331.31666666666666,40,60,31882.597461569887,1937.272491416491,0.01
48,960000,388.4901960784314,386.05882352941177,51,51,31985.120368478834,1963.567868112844,0.01
49,980000,343.32758620689657,377.188679245283,58,53,32059.29435739409,1971.7445340821291,0.01
50,1000000,142.2357142857143,354.23214285714283,140,56,31731.11998321606,1971.903161126185,0.01
