iteration,step,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes
1,20000,88.48672566371681,36.70165745856354,226,543
2,40000,200.37373737373736,140.645390070922,99,141
3,60000,187.5943396226415,186.47663551401868,106,107
4,80000,206.125,183.84259259259255,96,108
5,100000,203.4795918367347,203.4081632653061,98,98
6,120000,125.59748427672956,148.6492537313433,159,134
7,140000,299.0151515151515,207.15625,66,96
8,160000,314.36507936507934,289.1159420289855,63,69
9,180000,323.59016393442624,298.14925373134326,61,67
10,200000,333.5254237288136,338.77966101694915,59,59
11,220000,342.5344827586207,333.3728813559322,58,59
12,240000,390.3137254901961,379.84615384615387,51,52
13,260000,386.9019607843137,370.7169811320755,51,53
14,280000,330.26666666666665,398.34,60,50
15,300000,161.1451612903226,216.0326086956522,124,92
16,320000,348.60714285714283,262.13157894736844,56,76
17,340000,350.7894736842105,342.12068965517244,57,58
18,360000,281.28169014084506,306.1230769230769,71,65
19,380000,372.1132075471698,319.30645161290323,53,62
20,400000,401.4489795918368,414.2916666666667,49,48
21,420000,451.1363636363636,389.3137254901961,44,51
22,440000,425.2765957446808,418.9148936170213,47,47
23,460000,432.19565217391306,444.70454545454544,46,44
24,480000,446.27272727272725,456.6744186046512,44,43
25,500000,277.76056338028167,306.4307692307692,71,65
26,520000,380.36538461538464,322.9836065573771,52,61
27,540000,435.8888888888889,430.5869565217391,45,46
28,560000,454.6511627906977,436.73333333333335,43,45
29,580000,456.1627906976744,452.95454545454544,43,44
30,600000,469.8571428571428,464.4651162790698,42,43
31,620000,412.4375,428.9347826086956,48,46
32,640000,333.26666666666665,339.2758620689655,60,58
33,660000,375.8301886792453,371.6792452830189,53,53
34,680000,346.87719298245617,356.23214285714283,57,56
35,700000,271.0821917808219,292.0,73,68
36,720000,312.109375,335.76271186440675,64,59
37,740000,199.85,265.1066666666667,100,75
38,760000,368.7407407407408,277.40277777777777,54,72
39,780000,343.3965517241379,358.1454545454545,58,55
40,800000,384.5686274509804,381.5,51,52
41,820000,375.4528301886792,426.9130434782609,53,46
42,840000,424.9787234042553,418.2127659574468,47,47
43,860000,375.0566037735849,429.3478260869565,53,46
44,880000,391.1764705882353,356.9818181818182,51,55
45,900000,398.58,398.0,50,49
46,920000,467.3333333333333,444.0888888888889,42,45
47,940000,477.6829268292683,459.9302325581396,41,43
48,960000,437.24444444444447,451.0,45,44
49,980000,459.72093023255815,473.7380952380952,43,42
50,1000000,478.5121951219512,457.9767441860465,41,43
