iteration,step,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_step_rate,train_step_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
25,25000000,3668.169934640523,5478.537735849057,153,212,1369.3645076827047,434.2576626512521,0.01,0.147639021175609,0.147639021175609,0.8523609788243909
26,26000000,2602.9220779220777,5363.488372093023,308,215,1155.4959114783908,433.06996351073,0.01,0.0801306808151131,0.0801306808151131,0.9198693191848868
27,27000000,5073.222222222223,5331.045454545455,180,220,1285.4124312280337,435.9004965278823,0.01,0.2366819114814932,0.2366819114814932,0.7633180885185067
28,28000000,5497.901234567901,5397.465437788019,162,217,1247.362707809427,439.7875087965858,0.01,0.2635952491883711,0.2635952491883711,0.7364047508116289
29,29000000,5446.0,5485.990566037736,175,212,1199.1327590211868,445.5204191811905,0.01,0.2603060933489654,0.2603060933489654,0.7396939066510346
30,30000000,6876.975308641975,5586.142857142857,162,210,1120.4383950386982,439.87788030792166,0.01,0.3509918127090196,0.3509918127090196,0.6490081872909803
31,31000000,5185.345911949686,5582.688679245283,159,212,1200.3800267905376,442.5384541205532,0.01,0.2437875669032406,0.2437875669032406,0.7562124330967593
32,32000000,6567.8231292517,5808.405797101449,147,207,1264.503488440709,440.7607754199783,0.01,0.3313997990590133,0.3313997990590133,0.6686002009409867
33,33000000,5541.538461538462,5702.222222222223,156,207,1259.5232153244726,500.1135444418391,0.01,0.2663606870647652,0.2663606870647652,0.7336393129352348
34,34000000,5053.77245508982,5828.855721393034,167,201,1383.7985646028674,502.02460895187016,0.01,0.2354493143058918,0.2354493143058918,0.7645506856941082
35,35000000,6270.359712230216,5785.87064676617,139,201,1409.5907237569809,505.0424070220072,0.01,0.3125485416033598,0.3125485416033598,0.6874514583966402
36,36000000,5284.331210191082,5688.243902439024,157,205,1297.8795132840646,498.3670178934397,0.01,0.2500605982566673,0.2500605982566673,0.7499394017433327
37,37000000,4446.273291925466,5544.460093896713,161,213,1452.6755871061798,492.62807179807066,0.01,0.1969500486026468,0.1969500486026468,0.8030499513973531
38,38000000,5672.215189873417,5539.138755980861,158,209,1365.8119671422282,495.4217062067662,0.01,0.2746421109587387,0.2746421109587387,0.7253578890412613
39,39000000,6092.916666666667,5709.753694581281,168,203,1276.9988870591978,498.4295622617192,0.01,0.3013033788565333,0.3013033788565333,0.6986966211434666
40,40000000,6591.946308724832,5902.7,149,200,1258.014989565715,501.1644629205435,0.01,0.3329285660968238,0.3329285660968238,0.6670714339031761
41,41000000,4763.066666666667,5677.464114832536,150,209,1377.551660315632,507.2622695874366,0.01,0.21702631050836,0.21702631050836,0.78297368949164
42,42000000,6288.1578947368425,5942.060301507538,152,199,1375.2302854777752,500.7807988757079,0.01,0.313676472305006,0.313676472305006,0.6863235276949939
43,43000000,6465.78125,6033.010204081633,128,196,1392.20413041119,506.0698222198227,0.01,0.3249330618840901,0.3249330618840901,0.6750669381159099
44,44000000,6253.916083916084,5763.756097560976,143,205,1377.9041976991082,500.6404381446428,0.01,0.3115064535578493,0.3115064535578493,0.6884935464421507
45,45000000,5844.108108108108,5640.190476190476,185,210,1373.7053125736647,503.2650219769165,0.01,0.2855355434651356,0.2855355434651356,0.7144644565348643
46,46000000,6738.439306358381,5898.243902439024,173,205,1293.7711700929565,498.5146072576741,0.01,0.3422123201849476,0.3422123201849476,0.6577876798150524
47,47000000,6836.387096774193,5890.382775119617,155,209,1306.4991517584508,493.8424590474164,0.01,0.3484196011771091,0.3484196011771091,0.6515803988228909
48,48000000,6389.777777777777,5919.903846153846,180,208,1364.1827151367231,485.00809669046697,0.01,0.3201164661603838,0.3201164661603838,0.6798835338396161
49,49000000,7309.922480620155,5807.912621359224,129,206,1362.078530899931,499.446981338538,0.01,0.3784291315073452,0.3784291315073452,0.6215708684926547
50,50000000,6919.813664596273,5669.252336448598,161,214,1385.8178622378564,500.11301241784633,0.01,0.3537066234415712,0.3537066234415712,0.6462933765584288
