iteration,step,train_episode_return,train_num_episodes,train_step_rate,train_exploration_epsilon
1,20000,27.051420838971584,739,15880.779961141723,0.8100095
2,40000,48.44174757281554,412,15632.080624179716,0.6200094999999999
3,60000,128.2207792207792,154,14718.12901589254,0.4300095
4,80000,279.38028169014086,71,15111.339822924649,0.2400095
5,100000,464.8372093023256,43,15187.30842742614,0.0500094999999999
6,120000,459.8372093023256,43,15280.539267278276,0.05
7,140000,437.4888888888889,45,15208.914181245687,0.05
8,160000,419.5744680851064,47,15149.746774373094,0.05
9,180000,459.3488372093023,43,15427.49897802714,0.05
10,200000,450.75,44,15167.496119539934,0.05
11,220000,485.5365853658537,41,14925.875969251889,0.05
12,240000,435.1777777777778,45,15592.441690483154,0.05
13,260000,500.0,40,15578.971102262449,0.05
14,280000,468.7619047619048,42,15545.405133148624,0.05
15,300000,482.4390243902439,41,15462.495191400412,0.05
16,320000,491.95,40,15327.070076868553,0.05
17,340000,492.05,40,15515.320815339024,0.05
18,360000,479.4878048780488,41,15166.989881916968,0.05
19,380000,487.3170731707317,41,15269.533596468606,0.05
20,400000,495.8,40,14791.344785467838,0.05
21,420000,497.3,40,15396.02718054729,0.05
22,440000,500.0,40,15309.60146998858,0.05
23,460000,454.4772727272728,44,15175.16555507793,0.05
24,480000,490.275,40,15410.133688815982,0.05
25,500000,478.0243902439024,41,15575.366442122227,0.05
26,520000,469.95238095238096,42,15563.620776002565,0.05
27,540000,475.7619047619048,42,15442.211531347586,0.05
28,560000,487.7,40,15650.422142243971,0.05
29,580000,483.4146341463415,41,15473.238860078116,0.05
30,600000,465.5,42,15290.197462599894,0.05
31,620000,449.1590909090909,44,14073.714406246394,0.05
32,640000,468.7380952380952,42,15493.602833514107,0.05
33,660000,465.1162790697674,43,15299.271482054724,0.05
34,680000,488.9,40,15589.41891730794,0.05
35,700000,465.4047619047619,42,15459.470378006052,0.05
36,720000,464.3333333333333,42,15371.788903804652,0.05
37,740000,489.4,40,15274.736812079762,0.05
38,760000,455.5813953488372,43,14912.127737349536,0.05
39,780000,451.5,44,15394.1194652975,0.05
40,800000,446.5,44,15533.538139142576,0.05
41,820000,450.79545454545456,44,15381.367975512994,0.05
42,840000,465.3571428571428,42,15333.658499871992,0.05
43,860000,458.6279069767442,43,15268.27366445702,0.05
44,880000,458.2325581395349,43,15522.135463180295,0.05
45,900000,495.85,40,15451.841891482283,0.05
46,920000,475.9761904761905,42,15202.487260116835,0.05
47,940000,464.95238095238096,42,15481.734688131544,0.05
48,960000,484.0487804878049,41,15389.766647319808,0.05
49,980000,429.0434782608696,46,15411.689609548892,0.05
50,1000000,456.90697674418607,43,15389.780277736592,0.05
