black_id,white_id,total_games,black_won_games,white_won_games
11b128_137000,11b128_130000,50,21,29
11b128_137000,11b128_131000,50,43,7
11b128_137000,11b128_132000,50,38,12
11b128_137000,11b128_133000,50,33,17
11b128_137000,11b128_134000,50,24,26
11b128_137000,11b128_135000,50,39,11
11b128_137000,11b128_136000,50,30,20
11b128_137000,11b128_137000,50,35,15
11b128_137000,11b128_138000,50,41,9
11b128_137000,11b128_139000,50,21,29
11b128_137000,11b128_140000,50,43,7
11b128_137000,11b128_141000,50,26,24
11b128_137000,11b128_142000,50,21,29
11b128_137000,11b128_143000,50,30,20
11b128_137000,11b128_144000,50,17,33
11b128_137000,11b128_145000,50,12,38
11b128_137000,11b128_146000,50,15,35
11b128_137000,11b128_147000,50,16,34
11b128_137000,11b128_148000,50,19,31
11b128_137000,11b128_149000,50,15,35
11b128_137000,11b128_150000,50,16,34
11b128_137000,11b128_151000,50,7,43
11b128_137000,11b128_152000,50,8,42
11b128_137000,11b128_153000,50,11,39
11b128_137000,11b128_154000,50,7,43
11b128_137000,11b128_155000,50,20,30
11b128_137000,11b128_156000,50,25,25
11b128_137000,11b128_157000,50,19,31
11b128_137000,11b128_158000,50,22,28
11b128_137000,11b128_159000,50,14,36
11b128_137000,11b128_160000,50,13,37
11b128_139000,12b64_174000,50,31,19
11b128_139000,12b64_182000,50,27,23
11b128_139000,12b64_193000,50,33,17
11b128_139000,12b64_196000,50,26,24
11b128_139000,12b64_200000,50,32,18
11b128_154000,11b128_145000,50,15,35
11b128_154000,11b128_151000,50,40,10
11b128_154000,11b128_152000,50,12,38
11b128_154000,11b128_153000,50,26,24
11b128_154000,11b128_160000,50,14,36
12b64_149000,12b64_150000,50,29,21
12b64_149000,12b64_151000,50,34,16
12b64_149000,12b64_152000,50,30,20
12b64_149000,12b64_153000,50,31,19
12b64_149000,12b64_154000,50,29,21
12b64_149000,12b64_155000,50,28,22
12b64_149000,12b64_156000,50,25,25
12b64_149000,12b64_157000,50,32,18
12b64_149000,12b64_158000,50,31,19
12b64_149000,12b64_159000,50,37,13
12b64_149000,12b64_160000,50,26,24
12b64_149000,12b64_161000,50,36,14
12b64_149000,12b64_162000,50,29,21
12b64_149000,12b64_163000,50,32,18
12b64_149000,12b64_164000,50,31,19
12b64_149000,12b64_165000,50,26,24
12b64_149000,12b64_166000,50,28,22
12b64_149000,12b64_167000,50,23,27
12b64_149000,12b64_168000,50,32,18
12b64_149000,12b64_169000,50,24,26
12b64_149000,12b64_170000,50,23,27
12b64_149000,12b64_171000,50,22,28
12b64_149000,12b64_172000,50,29,21
12b64_149000,12b64_173000,50,24,26
12b64_149000,12b64_174000,50,12,38
12b64_149000,12b64_175000,50,23,27
12b64_149000,12b64_176000,50,29,21
12b64_149000,12b64_177000,50,16,34
12b64_149000,12b64_178000,50,22,28
12b64_149000,12b64_179000,50,23,27
12b64_149000,12b64_180000,50,25,25
12b64_149000,12b64_181000,50,16,34
12b64_149000,12b64_182000,50,11,39
12b64_149000,12b64_183000,50,23,27
12b64_149000,12b64_184000,50,23,27
12b64_149000,12b64_185000,50,17,33
12b64_149000,12b64_186000,50,18,32
12b64_149000,12b64_187000,50,21,29
12b64_149000,12b64_188000,50,23,27
12b64_149000,12b64_189000,50,22,28
12b64_149000,12b64_190000,50,24,26
12b64_149000,12b64_191000,50,24,26
12b64_149000,12b64_192000,50,21,29
12b64_149000,12b64_193000,50,13,37
12b64_149000,12b64_194000,50,18,32
12b64_149000,12b64_195000,50,17,33
12b64_149000,12b64_196000,50,8,42
12b64_149000,12b64_197000,50,33,17
12b64_149000,12b64_198000,50,26,24
12b64_149000,12b64_199000,50,14,36
12b64_149000,12b64_200000,50,9,41
