iteration,step,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_step_rate,train_step_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
21,21000000,6227.341040462427,5626.621621621622,173,222,1144.027947609108,483.9218278558019,0.01,0.3098223036510933,0.3098223036510933,0.6901776963489066
22,22000000,6005.073891625616,5767.798165137615,203,218,1181.406258818126,479.4236683915325,0.01,0.2957364866837109,0.2957364866837109,0.7042635133162891
23,23000000,5314.831460674157,6051.88679245283,178,212,1182.959988278119,472.6878315681081,0.01,0.2519935017379611,0.2519935017379611,0.7480064982620389
24,24000000,5117.791411042945,5853.059360730594,163,219,1136.5429677718191,468.4179529304811,0.01,0.2395064109156148,0.2395064109156148,0.7604935890843851
25,25000000,5998.636363636364,5756.923076923077,198,221,1353.1743640744326,469.0640719301354,0.01,0.295328518878061,0.295328518878061,0.704671481121939
26,26000000,6294.702380952381,6096.201923076923,168,208,1143.4329133323615,461.8880264613085,0.01,0.3140912184132818,0.3140912184132818,0.6859087815867182
27,27000000,5062.5625,6224.563106796117,160,206,1173.9168292561726,462.0593562520898,0.01,0.2360063690230996,0.2360063690230996,0.7639936309769004
28,28000000,4563.1067961165045,6234.09756097561,206,205,1204.3303496606366,460.1433772282914,0.01,0.2043541808115912,0.2043541808115912,0.7956458191884087
29,29000000,6410.700636942675,6123.666666666667,157,210,1340.3434721353606,461.0738938558984,0.01,0.3214424181338239,0.3214424181338239,0.678557581866176
30,30000000,5765.705128205128,6340.0485436893205,156,206,1300.1719115670812,466.50504639180167,0.01,0.280566882867336,0.280566882867336,0.719433117132664
31,31000000,6353.149171270718,6072.666666666667,181,210,1106.733091986498,478.459098693015,0.01,0.3177951881409879,0.3177951881409879,0.682204811859012
32,32000000,7176.598639455782,6228.349514563107,147,206,1155.1029029034266,484.8079677055452,0.01,0.3699799511680207,0.3699799511680207,0.6300200488319794
33,33000000,6328.518518518518,6226.165048543689,189,206,1100.8394205888887,495.9579743918615,0.01,0.3162342608142538,0.3162342608142538,0.6837657391857461
34,34000000,5888.343949044586,6082.163461538462,157,208,1117.2206302719326,493.80797184955713,0.01,0.2883389175223921,0.2883389175223921,0.711661082477608
35,35000000,6245.111111111111,6274.347826086957,135,207,1105.2514028677947,492.342028206079,0.01,0.3109484528097285,0.3109484528097285,0.6890515471902714
36,36000000,6154.347826086957,6568.805970149254,138,201,1103.4330696046409,495.977645772263,0.01,0.3051964780941701,0.3051964780941701,0.69480352190583
37,37000000,7327.928571428572,5934.065420560748,140,214,1110.5703344655956,499.5046651638167,0.01,0.3795702380575159,0.3795702380575159,0.6204297619424841
38,38000000,7123.851351351352,6175.4807692307695,148,208,1121.884315526778,498.3732934150237,0.01,0.366637178069733,0.366637178069733,0.6333628219302669
39,39000000,6870.818713450292,6455.196078431372,171,204,1109.3155833108883,488.5592724652154,0.01,0.3506016485598588,0.3506016485598588,0.6493983514401411
40,40000000,7415.065789473684,6389.803921568628,152,204,1190.7357067944247,492.2582376398891,0.01,0.3850924167098884,0.3850924167098884,0.6149075832901116
41,41000000,6214.759036144578,6383.18407960199,166,201,1171.9979875917722,485.6631319059894,0.01,0.3090249397094064,0.3090249397094064,0.6909750602905935
42,42000000,5733.413173652694,6231.407766990291,167,206,1256.752115993358,486.76931175299,0.01,0.2785204330715608,0.2785204330715608,0.7214795669284392
43,43000000,6489.408284023669,6190.388349514563,169,206,1311.6847819931104,480.1403064294944,0.01,0.3264303865156481,0.3264303865156481,0.6735696134843518
44,44000000,5264.69696969697,6064.15458937198,198,207,1136.312518266795,467.9895107315881,0.01,0.2488163103835337,0.2488163103835337,0.7511836896164663
45,45000000,6928.0,5846.930232558139,130,215,1364.075017839733,468.2329025666154,0.01,0.3542254190563706,0.3542254190563706,0.6457745809436294
46,46000000,6701.515151515152,6249.512195121952,165,205,1322.141846323802,461.7363590553572,0.01,0.3398723122732122,0.3398723122732122,0.6601276877267879
47,47000000,4677.48743718593,5930.66985645933,199,209,1128.3818905777189,467.94519111404696,0.01,0.2116028668326581,0.2116028668326581,0.7883971331673418
48,48000000,6615.034965034965,6207.6,143,200,1128.4046937165751,466.1978904460353,0.01,0.3343917719214782,0.3343917719214782,0.6656082280785218
49,49000000,5808.9375,6241.414634146341,160,205,1299.0744564217632,469.52262078795246,0.01,0.283306663709243,0.283306663709243,0.716693336290757
50,50000000,6133.111111111111,6195.951219512195,135,205,1250.298729249295,475.9195025596184,0.01,0.3038506360221243,0.3038506360221243,0.6961493639778756
