iteration,step,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes
1,20000,106.91978609625669,39.36220472440945,187,508
2,40000,208.21052631578948,164.29752066115702,95,121
3,60000,268.6756756756757,246.8,74,80
4,80000,320.96774193548384,307.5692307692308,62,65
5,100000,310.328125,306.4769230769231,64,65
6,120000,376.8679245283019,379.1923076923077,53,52
7,140000,405.9183673469388,391.4509803921569,49,51
8,160000,394.96,411.0625,50,48
9,180000,434.4130434782609,445.9772727272728,46,44
10,200000,456.30232558139534,440.1111111111111,43,45
11,220000,433.9782608695652,442.5777777777778,46,45
12,240000,407.0,462.3720930232558,49,43
13,260000,449.9318181818182,447.1363636363636,44,44
14,280000,442.3333333333333,447.59090909090907,45,44
15,300000,446.52272727272725,438.6666666666667,44,45
16,320000,473.9285714285714,463.6511627906977,42,43
17,340000,474.2380952380952,465.1162790697674,42,43
18,360000,463.3488372093023,480.6829268292683,43,41
19,380000,479.5609756097561,475.6190476190476,41,42
20,400000,472.9047619047619,485.6829268292683,42,41
21,420000,484.780487804878,482.4634146341463,41,41
22,440000,481.8780487804878,472.45238095238096,41,42
23,460000,476.2439024390244,465.0238095238095,41,42
24,480000,455.6744186046512,480.8780487804878,43,41
25,500000,465.9285714285714,473.6666666666667,42,42
26,520000,454.3255813953488,477.8048780487805,43,41
27,540000,490.7,495.0,40,40
28,560000,474.8571428571428,485.0243902439024,42,41
29,580000,497.325,487.4146341463415,40,41
30,600000,488.875,492.275,40,40
31,620000,485.1219512195122,492.575,41,40
32,640000,493.25,482.219512195122,40,41
33,660000,499.175,494.75,40,40
34,680000,495.35,500.0,40,40
35,700000,472.1904761904762,491.675,42,40
36,720000,498.05,474.3571428571428,40,42
37,740000,492.5,487.1219512195122,40,41
38,760000,449.34090909090907,485.5121951219512,44,41
39,780000,493.55,476.1904761904762,40,42
40,800000,454.52272727272725,424.17021276595744,44,47
41,820000,496.375,484.1707317073171,40,41
42,840000,487.5365853658537,487.6585365853659,41,41
43,860000,464.6190476190476,483.5853658536585,42,41
44,880000,492.175,487.4390243902439,40,41
45,900000,485.1463414634146,500.0,41,40
46,920000,500.0,487.525,40,40
47,940000,479.0243902439024,488.575,41,40
48,960000,474.4047619047619,488.725,42,40
49,980000,488.65,492.95,40,40
50,1000000,485.0243902439024,475.6585365853659,41,41
