iteration,step,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes
1,20000,58.76764705882353,40.23541247484909,340,497
2,40000,103.08762886597938,79.2936507936508,194,252
3,60000,146.77205882352942,122.99382716049382,136,162
4,80000,176.8761061946903,175.9203539823009,113,113
5,100000,207.61458333333331,189.6190476190476,96,105
6,120000,289.536231884058,245.5432098765432,69,81
7,140000,249.91139240506328,295.8787878787879,79,66
8,160000,297.8059701492537,336.6779661016949,67,59
9,180000,344.89473684210526,334.5084745762712,57,59
10,200000,281.63380281690144,374.8490566037736,71,53
11,220000,356.1428571428572,299.2575757575757,56,66
12,240000,374.5471698113208,380.7307692307692,53,52
13,260000,301.72727272727275,326.7377049180328,66,61
14,280000,325.9344262295082,289.72463768115944,61,69
15,300000,363.8518518518519,370.811320754717,54,53
16,320000,362.7407407407408,389.62745098039215,54,51
17,340000,292.97058823529414,335.6779661016949,68,59
18,360000,431.0652173913044,355.5272727272727,46,55
19,380000,389.1960784313725,439.6,51,45
20,400000,330.5833333333333,314.031746031746,60,63
21,420000,398.18,392.0392156862745,50,51
22,440000,368.7037037037037,404.3469387755102,54,49
23,460000,368.05555555555554,348.10526315789474,54,57
24,480000,339.3103448275862,377.75,58,52
25,500000,443.8863636363636,364.94444444444446,44,54
26,520000,448.4772727272728,465.7857142857143,44,42
27,540000,472.0238095238095,472.7380952380952,42,42
28,560000,459.2325581395349,453.9772727272728,43,44
29,580000,443.97777777777776,461.4651162790698,45,43
30,600000,434.6222222222222,467.2380952380952,45,42
31,620000,482.1707317073171,490.7,41,40
32,640000,340.6551724137931,423.9148936170213,58,47
33,660000,434.39130434782606,437.4222222222222,46,45
34,680000,361.2545454545455,345.9824561403509,55,57
35,700000,271.05479452054794,328.2,73,60
36,720000,289.55882352941177,227.49425287356323,68,87
37,740000,473.0952380952381,439.26666666666665,42,45
38,760000,481.390243902439,469.8095238095238,41,42
39,780000,417.51063829787233,457.5348837209302,47,43
40,800000,477.219512195122,377.3207547169811,41,53
41,820000,449.3181818181818,461.5813953488372,44,43
42,840000,492.7,465.3333333333333,40,42
43,860000,478.1463414634146,459.3953488372093,41,43
44,880000,484.0,458.3488372093023,41,43
45,900000,449.1590909090909,467.6904761904762,44,42
46,920000,378.88461538461536,457.5116279069768,52,43
47,940000,478.6341463414634,443.8888888888889,41,45
48,960000,453.20454545454544,458.27906976744185,44,43
49,980000,472.5238095238095,433.4130434782609,42,46
50,1000000,490.225,448.4318181818182,40,44
