iteration,step,train_step_rate,train_episode_return,train_num_episodes,eval_episode_return,eval_num_episodes
1,100000,2775.8077900995395,-365.4858452376227,926,-246.59238722569114,251
2,200000,2983.936442646211,-295.2320766974712,929,-295.28996177777026,163
3,300000,2963.6447150797353,-241.4743175816949,882,-186.07230346433727,185
4,400000,3003.0119893151277,-175.6358683335527,869,-173.67461113127976,130
5,500000,3014.0151442628003,-122.95513712638557,704,-86.61370158972471,127
6,600000,2912.7398568239037,-42.22493230791862,450,68.93352341492641,39
7,700000,2892.0843790354347,304.1636058832186,140,564.0385669605408,21
8,800000,2767.3045881115195,705.081182095051,105,647.4177814182962,24
9,900000,2744.678312804456,723.6678279495246,113,774.0209141353768,20
10,1000000,2832.402198816035,776.3194917273119,109,798.8276302417663,21
11,1100000,2700.9695421511783,800.5274877537368,109,812.3234755357861,21
12,1200000,2732.8242790208565,856.3843860589601,110,760.7773206884588,22
13,1300000,2857.418012856954,869.4307751793488,110,920.5646253050384,21
14,1400000,2726.127306250855,891.1722277083817,108,916.7917423919178,20
15,1500000,2758.128906095316,826.7815292793679,113,803.000598024196,23
16,1600000,2846.894443997228,886.404530436914,110,831.8721317689351,23
17,1700000,2887.0548161456254,871.2415950945708,112,921.2802703915397,22
18,1800000,2729.6344314006697,938.0260918780592,108,923.6219720931057,21
19,1900000,2724.684291266381,848.7466753140338,110,814.1206245691592,22
20,2000000,2791.629007562218,936.2266559436723,103,1004.7221350108323,20
21,2100000,2737.6097768288423,922.4657317223262,107,880.6126669987907,20
22,2200000,2740.6029648791814,859.2373641982148,107,798.6444309366333,22
23,2300000,2831.0213645893955,875.7930814732199,108,976.7205351627902,20
24,2400000,2705.509145446581,900.7364306474105,104,896.0108842476088,22
25,2500000,2739.0383097553467,920.9213125484038,105,865.2153235184502,22
26,2600000,2816.3682399475597,907.9828692553348,108,1006.1496814658565,20
27,2700000,2895.957855810693,927.7079733261327,104,903.9286882656443,20
28,2800000,2807.8245875389343,903.1934394931337,106,1032.3640986443002,20
29,2900000,2918.0875204515023,868.1807157312364,111,935.7984499419987,20
30,3000000,2827.0346006712166,977.9005066922563,109,964.2243995276381,21
31,3100000,2878.2908392131194,893.3283858966802,107,884.6250453877941,21
32,3200000,2871.569210185404,921.1191352219984,107,864.7774852908246,21
33,3300000,2899.1173322087925,909.4728916265526,104,801.1172943726851,21
34,3400000,2912.640955998085,891.7554794704314,109,822.6120109163901,23
35,3500000,2844.899179475494,878.3971618303605,112,903.9132776101411,22
36,3600000,2931.09884901252,986.3273620908545,107,1095.3394257728046,20
37,3700000,2813.226810971882,972.5909384278228,110,883.2392721781478,23
38,3800000,3042.55401319734,874.9211992957338,119,710.9604191130516,27
39,3900000,2926.2162583634313,846.8830944659735,131,816.8154483981593,25
40,4000000,2929.648032326559,902.2842920411165,126,872.7498865801331,27
