datetime,black,white,game,game_result,game_length
2023-05-31 19:56:56,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_170000.ckpt,0,W+0.5,88
2023-05-31 19:56:45,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_170000.ckpt,1,B+9.5,52
2023-05-31 19:57:18,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_170000.ckpt,2,W+2.5,125
2023-05-31 19:56:54,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_170000.ckpt,3,W+0.5,95
2023-05-31 19:56:39,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_170000.ckpt,4,B+1.5,39
2023-05-31 19:56:51,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_170000.ckpt,5,W+2.5,88
2023-05-31 19:56:50,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_170000.ckpt,6,B+3.5,83
2023-05-31 19:56:51,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_170000.ckpt,7,W+2.5,70
2023-05-31 19:56:47,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_170000.ckpt,8,W+0.5,66
2023-05-31 19:56:57,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_170000.ckpt,9,W+4.5,98
2023-05-31 19:57:02,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_170000.ckpt,10,B+13.5,102
2023-05-31 19:56:59,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_170000.ckpt,11,W+2.5,111
2023-05-31 19:57:01,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_170000.ckpt,12,W+3.5,98
2023-05-31 19:57:10,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_170000.ckpt,13,B+9.5,162
2023-05-31 19:56:42,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_170000.ckpt,14,B+3.5,45
2023-05-31 19:56:56,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_170000.ckpt,15,W+2.5,101
2023-05-31 19:57:12,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_170000.ckpt,16,B+2.5,90
