iteration,step,train_step_rate,train_episode_return,train_num_episodes,eval_episode_return,eval_num_episodes
1,100000,1088.3195120156456,-87.56843313104031,668.5,194.83665774173332,48
2,200000,1110.0947261048047,678.0539976883496,132.3125,1018.6525081862749,26
3,300000,1095.5590412181286,1155.8744884067999,123.625,1212.4443385122565,28
4,400000,1094.5819696352405,1479.5875630373262,125.875,1855.4197627068884,26
5,500000,1109.4034982987112,2302.180954720523,112.0625,2337.4015310073296,24
6,600000,1109.7615314267027,2562.52214164391,112.5,2570.643940708948,24
7,700000,1118.8237746132736,2846.368476596771,107.8125,2317.4992247670275,25
8,800000,1117.1205989066252,2867.241893651666,107.625,3173.7912815762324,21
9,900000,1119.822462740067,2968.0139928764174,105.6875,3005.09153190658,22
10,1000000,1111.4823774700153,2916.5145267891658,107.5,3214.105978071795,21
11,1100000,1121.4263689761783,2901.3138596090944,108.9375,2607.1350150993508,24
12,1200000,1109.9152938836987,2987.5468893766056,109.0,3077.126879468769,21
13,1300000,1105.9293053958547,3137.766862391375,105.0,3309.6729851838945,22
14,1400000,1106.0595438203138,3091.085311699455,107.0,3455.545238917024,21
15,1500000,1105.6554348496866,3099.8556134893383,109.375,3447.583951183858,21
16,1600000,1126.0671037261422,3006.6519828833652,110.625,2751.3758370581513,26
17,1700000,1110.5562598371143,3152.7419657480664,108.25,3171.759397091486,23
18,1800000,1108.3130223568835,3279.8374088858736,106.0,3519.7376689837033,21
19,1900000,1116.3576870446254,3198.2295652608664,106.6875,3576.6136673479405,21
20,2000000,1120.2328115189976,3127.2170140153535,109.1875,2715.7000682026114,25
21,2100000,1113.3941792395967,3155.66327373047,107.6875,3362.9510959028244,21
22,2200000,1133.9398628998888,3158.4622196419127,107.5625,3492.8817554221923,21
23,2300000,1124.3869763762832,3188.0083392134675,107.1875,3193.8734535508347,23
24,2400000,1116.504652615155,3205.83902742339,107.375,3323.280444763526,21
25,2500000,1115.5696255351008,3181.374744453048,106.625,3292.0366700613918,22
26,2600000,1105.2153599548933,3145.134969581649,108.125,3202.942257104978,23
27,2700000,1101.0599520806668,3101.849948293235,111.0625,3256.6157541277325,23
28,2800000,1120.153930498846,3165.232042197024,108.125,3195.1650193303913,23
29,2900000,1084.6544211221012,3225.2051683978343,106.125,3432.5817340217523,21
30,3000000,1091.0779178436685,3259.9395040086324,104.3125,3151.383828544579,22
31,3100000,1092.2822577061088,3186.891264310131,105.6875,3079.755881973418,23
32,3200000,1102.2318511640062,3168.2752228476543,106.625,3301.3152096578488,22
33,3300000,1094.7698507621517,3214.3864537526656,105.75,3098.9836583021465,23
34,3400000,1093.5005475195203,3174.954521672575,106.75,3278.3423420804756,22
35,3500000,1090.5145604777128,3189.1876312882546,106.625,3126.066297946462,23
36,3600000,1110.5496777503201,3188.8111243108197,106.125,3557.251554754587,21
37,3700000,1104.350831281702,3172.4261717272275,107.25,3337.436473891242,21
38,3800000,1094.3252593866068,3162.9247321659227,108.9375,3117.503597189833,23
39,3900000,1102.6066305790905,3189.5314496789542,107.125,3522.9096180437377,21
40,4000000,1115.87148191345,3296.7565343980596,105.25,3439.9061339407517,21
