datetime,black,white,game,game_result,game_length
2023-05-31 16:44:58,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_134000.ckpt,0,W+5.5,80
2023-05-31 16:45:09,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_134000.ckpt,1,W+7.5,94
2023-05-31 16:45:02,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_134000.ckpt,2,B+5.5,97
2023-05-31 16:45:03,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_134000.ckpt,3,B+1.5,85
2023-05-31 16:45:00,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_134000.ckpt,4,W+6.5,78
2023-05-31 16:45:08,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_134000.ckpt,5,B+0.5,108
2023-05-31 16:45:12,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_134000.ckpt,6,W+7.5,94
2023-05-31 16:44:56,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_134000.ckpt,7,B+1.5,63
2023-05-31 16:44:58,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_134000.ckpt,8,W+6.5,74
2023-05-31 16:45:43,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_134000.ckpt,9,B+8.5,162
2023-05-31 16:44:57,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_134000.ckpt,10,W+8.5,69
2023-05-31 16:45:12,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_134000.ckpt,11,B+4.5,121
2023-05-31 16:45:05,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_134000.ckpt,12,B+1.5,91
2023-05-31 16:44:49,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_134000.ckpt,13,B+5.5,41
2023-05-31 16:44:57,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_134000.ckpt,14,B+5.5,69
2023-05-31 16:45:03,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_134000.ckpt,15,W+4.5,80
2023-05-31 16:45:16,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_134000.ckpt,16,B+4.5,87
2023-05-31 16:45:37,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_134000.ckpt,17,B+3.5,102
2023-05-31 16:46:12,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_134000.ckpt,18,W+6.5,162
2023-05-31 16:45:23,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_134000.ckpt,19,W+0.5,92
2023-05-31 16:45:30,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_134000.ckpt,20,B+2.5,101
2023-05-31 16:45:40,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_134000.ckpt,21,W+8.5,100
2023-05-31 16:45:24,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_134000.ckpt,22,W+6.5,76
2023-05-31 16:45:36,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_134000.ckpt,23,W+3.5,95
2023-05-31 16:45:29,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_134000.ckpt,24,W+5.5,68
2023-05-31 16:45:29,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_134000.ckpt,25,B+4.5,67
2023-05-31 16:45:44,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_134000.ckpt,26,W+0.5,86
2023-05-31 16:45:54,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_134000.ckpt,27,W+3.5,145
2023-05-31 16:45:47,./checkpoints/go/9x9_11b128/training_steps_137000.ckpt,./checkpoints/go/9x9_11b128/training_steps_134000.ckpt,28,B+1.5,108
