iteration,step,train_episode_return,train_num_episodes,train_step_rate,train_exploration_epsilon
1,20000,26.608521970705727,751,15940.198877405452,0.8100095
2,40000,51.787012987012986,385,15843.583198233897,0.6200094999999999
3,60000,121.0060606060606,165,15417.071961910297,0.4300095
4,80000,273.1917808219178,73,15475.113706724404,0.2400095
5,100000,382.63461538461536,52,15778.61689128067,0.0500094999999999
6,120000,408.875,48,15700.177244535593,0.05
7,140000,428.0217391304348,46,15691.764178090303,0.05
8,160000,338.79661016949154,59,15187.13603832928,0.05
9,180000,361.5090909090909,55,15583.345741204825,0.05
10,200000,378.96153846153845,52,15575.820951608082,0.05
11,220000,374.7169811320755,53,15331.344881414989,0.05
12,240000,395.32,50,15343.837436985785,0.05
13,260000,350.4561403508772,57,15208.74708396417,0.05
14,280000,362.4363636363637,55,14944.946084102812,0.05
15,300000,408.0,48,15794.870887192574,0.05
16,320000,375.9245283018868,53,15569.103112697328,0.05
17,340000,376.1538461538461,52,15822.84468403428,0.05
18,360000,381.7307692307692,52,15546.24397898556,0.05
19,380000,444.4,45,14348.096241644764,0.05
20,400000,467.4047619047619,42,15618.582653865513,0.05
21,420000,455.4418604651163,43,15909.89832559134,0.05
22,440000,450.9772727272728,44,14935.800474284895,0.05
23,460000,481.1951219512195,41,15525.843641585809,0.05
24,480000,471.8809523809524,42,15494.731254870165,0.05
25,500000,468.1904761904762,42,15904.399317310426,0.05
26,520000,459.4186046511628,43,15646.40796544267,0.05
27,540000,464.3488372093023,43,15664.847222596984,0.05
28,560000,485.6829268292683,41,15541.469796538056,0.05
29,580000,380.3269230769231,52,15016.976342644048,0.05
30,600000,381.84615384615387,52,15429.013950767152,0.05
31,620000,423.9574468085106,47,15456.213392155843,0.05
32,640000,444.45454545454544,44,15776.062341504889,0.05
33,660000,451.75,44,14702.8385734582,0.05
34,680000,462.86046511627904,43,14642.525780404978,0.05
35,700000,452.25,44,14633.031707746408,0.05
36,720000,461.0,43,15358.080708745869,0.05
37,740000,465.07142857142856,42,15383.722312198874,0.05
38,760000,460.0,43,15725.073705660998,0.05
39,780000,464.9302325581396,43,15500.184293704217,0.05
40,800000,464.8139534883721,43,15422.032259986912,0.05
41,820000,467.3095238095238,42,15616.900501932649,0.05
42,840000,475.9047619047619,42,15512.430930373524,0.05
43,860000,491.075,40,15772.167644182437,0.05
44,880000,478.3170731707317,41,15650.37760080895,0.05
45,900000,459.90697674418607,43,15538.89444561054,0.05
46,920000,475.7857142857143,42,14810.946590497688,0.05
47,940000,475.5952380952381,42,15597.135875179558,0.05
48,960000,466.3571428571428,42,15627.271069792332,0.05
49,980000,473.8095238095238,42,15434.533825162112,0.05
50,1000000,465.2142857142857,42,15641.175345905858,0.05
