datetime,black,white,game,game_result,game_length
2023-05-31 20:33:08,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_193000.ckpt,0,W+5.5,66
2023-05-31 20:33:11,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_193000.ckpt,1,B+5.5,77
2023-05-31 20:33:11,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_193000.ckpt,2,W+6.5,76
2023-05-31 20:33:12,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_193000.ckpt,3,W+17.5,84
2023-05-31 20:33:09,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_193000.ckpt,4,W+7.5,64
2023-05-31 20:33:16,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_193000.ckpt,5,W+8.5,64
2023-05-31 20:33:53,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_193000.ckpt,6,W+9.5,151
2023-05-31 20:33:34,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_193000.ckpt,7,W+4.5,101
2023-05-31 20:33:26,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_193000.ckpt,8,B+10.5,111
2023-05-31 20:33:16,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_193000.ckpt,9,W+0.5,68
2023-05-31 20:33:41,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_193000.ckpt,10,W+7.5,162
2023-05-31 20:33:18,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_193000.ckpt,11,B+1.5,69
2023-05-31 20:33:25,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_193000.ckpt,12,W+1.5,91
2023-05-31 20:33:11,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_193000.ckpt,13,W+5.5,66
2023-05-31 20:33:21,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_193000.ckpt,14,W+15.5,73
2023-05-31 20:33:11,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_193000.ckpt,15,B+5.5,67
2023-05-31 20:33:24,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_193000.ckpt,16,B+3.5,87
2023-05-31 20:33:33,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_193000.ckpt,17,W+2.5,90
2023-05-31 20:33:28,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_193000.ckpt,18,W+4.5,72
2023-05-31 20:33:27,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_193000.ckpt,19,B+3.5,85
2023-05-31 20:33:30,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_193000.ckpt,20,W+4.5,91
2023-05-31 20:33:30,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_193000.ckpt,21,W+2.5,66
2023-05-31 20:33:25,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_193000.ckpt,22,W+2.5,60
2023-05-31 20:33:46,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_193000.ckpt,23,W+9.5,92
2023-05-31 20:33:40,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_193000.ckpt,24,W+0.5,97
